"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07"
"10023","New York","NY","New York","New York",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1412500,1400000,1400000,1460000,1460000,1580000,1527500,1450000,1395000,1474500,1535000,1577500,1565000,1500000,1497500,1497500,1390000,1285000,1295000,1392500,1250000,1237500,1295000
"11375","New York","NY","New York","Queens",2,235000,229000,229000,229000,229000,229000,223444,224000,219000,215000,219000,218444,219000,215000,219000,215000,218444,215000,215000,215000,218000,215000,209000,205000,209000,209000,209000,214500,210000,216500,215000,219000,210000,209900,209000,209000,209000,209000,209000,209000,209000,215000,220000,219000,219000,218000,219000,215000,214000,219777,219388.5,219777,229000,229000,226500,229000,234888,239000,239000,245000,250000,268000,275000,268000,252000,259000,252000,250000,259000,259000,276500,269000,276500,279250,266500,269000,269000,275000,279000,286500,280000,279000,280000,294000,298440,289500,298880,298884,298944,299999,299000,291944,289000,299000,299999,299499.5,316500,319000,319000,349000,339000,399000,399000
"10128","New York","NY","New York","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030000,1030000,1020000,1020000,1002500,1002500,995000,995000,975000,999000,955000,929500,972500,950000,862250,885000,889500,882250,855000
"20002","Washington","DC","Washington","District of Columbia",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399999,399999,399900,404499.5,414450,409900,419900,409900,419900,414900,399499.5,394450
"20009","Washington","DC","Washington","District of Columbia",5,350000,357250,364900,349950,339900,339000,339000,339000,339950,344500,349900,349000,360000,339000,342500,338250,342200,339450,333227.5,339900,339000,339450,337000,349000,339990,329000,337000,349500,349727.5,359000,352500,339900,339950,339950,339900,334450,329900,348500,339900,364000,364000,365450,369000,362227.5,350000,349500,359277.5,359000,359000,362450,349700,345000,349000,349000,349500,349900,375000,354500,349900,349900,349000,342250,373750,385000,399000,399900,379000,399000,399250,394450,395000,389900,395000,410000,399000,385000,374999,384900,399000,394277.5,374440,374999,382450,380000,359999.5,369950,389000,399000,375000,389000,398000,399900,399440,399900,399900,395000,392000,399325,414900,417000,417000,415000,418500
"10003","New York","NY","New York","New York",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1172000,1172000,1200000,1183500,1195000,1183500,1100000,1150000,1147500,1150000,1122500,1195000,1195000,1199000,1295000,1367500,1260000,1337500,1282500,1260000,1191500,1350000,1410000,1390000,1407500,1407500,1475000,1491944,1540000,1555000,1525000,1522500
"07030","Hoboken","NJ","New York","Hudson",7,365000,364950,364950,364975,364950,364000,367000,365000,369612,369000,369000,369125,375000,369612,369000,359000,359000,359000,357000,359000,349500,357000,349000,340000,349499.5,349000,339499.5,347000,350000,349000,349000,349000,330000,329500,349000,359000,379900,387362.5,395000,395000,392000,399900,399000,399000,383950,399000,394000,379000,379000,379000,395000,399000,389915,379450,389000,404950,415000,430000,439000,439000,437000,435000,435000,455000,439000,435000,422500,435000,440000,469000,475000,475000,475000,499950,454000,454000,459000,459000,430000,427500,459000,489000,539000,531000,475000,503500,510000,549000,522450,509900,499000,499000,499000,517499,499000,499000,499000,499000,502000,507053.5,538000,525000,534000
"33160","Sunny Isles Beach","FL","Miami-Fort Lauderdale","Miami-Dade",8,149000,149900,149000,145208,149000,140000,139900,130000,134000,130000,140000,135000,137950,139000,145000,145250,159500,164900,159770,169900,169950,160000,159000,169000,174900,180945,174950,181472.5,193450,190000,189000,179000,170000,148900,164900,189747.5,190000,195000,198000,195000,190000,198000,209000,199900,199900,209000,213500,217000,225000,224000,229000,240000,249000,249000,236850,240000,240000,245000,250000,250000,250000,249900,235000,221500,239900,239000,220500,225000,225500,210950,228450,229700,235000,230000,230000,235000,241000,240000,249000,244750,239000,239950,242500,247000,248500,249000,249450,249000,240000,239850,255000,245000,249909,250000,254900,255000,259000,250000,249900,250000,259000,249900,249950
"10019","New York","NY","New York","New York",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975000,950000,972500,970000,1030500,1021500,1021500,970000,960000,1045000,1054000,1090000,1150000,1117500,1117500,1125000,1095000,1076000,1105000,1147500,1145000,1125000,1162500,1112500,1105000,1100000,1147500,1125000,1125000,1135000,1100000,1145000,1166500,1166500,1154000,1190000,1195000,1215000,1195000,1195000,1189000,1195000,1195000,1195000,1285000,1295500,1356500,1365500,1371500,1350000,1296000,1325000,1463000,1369000,1250000,1325000,1299000,1295000,1275000
"33411","Royal Palm Beach","FL","Miami-Fort Lauderdale","Palm Beach",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55500,55000,56900,56000,56944,55000,55000,58194,58888,58888,58250,62000,69500,68000,69900,67500,64000,68450,65950,65950,69900,69950,71450,78900,82500,79450,79900,74905,82500,75000
"33139","Miami Beach","FL","Miami-Fort Lauderdale","Miami-Dade",11,250000,250000,240000,236000,239000,235000,235000,235000,239000,239000,240000,235000,239000,247000,245000,240000,250000,259000,259900,269995,270000,274900,279000,279000,274500,270000,285000,282500,284950,274500,264900,265000,279900,265000,250000,269000,295000,290000,280000,279900,272000,270000,283250,285000,289000,290000,280000,299000,299994.5,309950,299000,289000,299000,298500,299000,299000,299000,299000,319000,334999.5,337050,325000,315000,319999,325000,314900,315000,320000,315000,315000,335000,343000,339000,325000,325000,338000,335000,339000,339000,334250,330000,335000,335000,339000,334500,329000,324900,320000,319900,325000,319900,315000,315000,309000,309000,3e+05,299000,299000,299000,298500,299000,299000,299000
"11211","New York","NY","New York","Kings",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949000,859000,832000,807000,799000,850000,865000,865800,865400,855000,867000,876250,860000,869500,860000,860000,860000,860000,829000,839000,822000,822000,799499.5,807500,849000,849500,825000,799999,799999,799499.5,849000,849000,870000,870000,879000,877000,870000,865000,799000,796250,795000
"33009","Hallandale","FL","Miami-Fort Lauderdale","Broward",13,133950,129000,120642.5,119900,125000,125000,125000,125000,124900,119900,119900,117900.5,117000,120000,119000,110000,115000,115000,120000,124900,129000,129000,129900,130000,129000,130000,134450,134950,130000,133450,129900,129000,131950,131000,137900,139900,149900,149500,150000,149000,149450,149999,160000,159900,160000,160000,168000,167000,159900,150000,158500,157000,158000,159000,159450,170000,165000,168000,170000,170000,165000,165000,157000,155000,164900,164850,171500,169999.5,169900,170000,175000,174900,175000,169900,169000,170000,175000,179900,179900,175000,179870,179900,179900,179900,179000,175000,179000,179900,185000,185000,190000,185000,190000,187000,184900,184250,185000,184900,179999,184222,179999.5,179999.5,179000
"33908","Fort Myers","FL","Fort Myers","Lee",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79900,78200,80900,84900,89250,89000,85000,80000,74000,73900,84500,86900,88700,88700,87400,79900,84900,84900,92000,92000,92000,89900,89900,88000,87000,79900,82900
"07302","Jersey City","NJ","New York","Hudson",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583000,639500,599900,621000,621840,642250,644500,619900,619450,626000,622500,626000,625000,622000,649444,715000,699000,645000,625000,639500,625000,625000
"92101","San Diego","CA","San Diego","San Diego",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389000,390000,380000,379900,379900,375000,369000,364500,366500,374950,369000,361000,379000,375500,375000,375000,374000,369500,359999,349999.5,364950,389000,394000,375900,372499.5,359000,382450,399000,415000,409000,399000,409000,409000,415000,429999,425000,429949.5,429900,434000,429900,425000,424950,437450,445000,445000,431250,429450,445250,454500,449500,457000,449900,445250,447250,445000,435000,439900,445000,439000,438500,448500,449700,445000
"11372","New York","NY","New York","Queens",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340000,340000,338000,333500,325000,325000,320000,320000,309500,315000,310000,315000,322000,320750,359000,380000,387900,389000,387900
"20001","Washington","DC","Washington","District of Columbia",18,366950,379000,374000,377200,371450,375000,375000,385950,397000,387338.5,389450,387338.5,375000,375000,375000,374990,375000,379500,385000,379495,382450,389723,385888,379999,385569,388900,379000,372450,399949.5,389900,359000,370000,379000,385750,374555,369999,387447.5,387447.5,384900,389700,399000,386500,399900,399450,399000,399900,374950,377500,404950,4e+05,404900,385000,399450,399900,425000,439375,449850,450000,450000,453950,449700,449000,449000,454900,469500,449900,444000,470000,475000,479000,459950,455000,479450,462000,469000,482450,499500,489000,454850,459700,454800,494000,474900,467425,459000,489900,474000,489000,472000,475000,479000,479450,489700,475000,479000,492000,465000,499700,499900,499000,487000,499450,487500
"33027","Miramar","FL","Miami-Fort Lauderdale","Broward",19,59900,64000,65000,64950,59999,59000,55450,55000,49000,46700,47250,41900,46150,47500,47500,45000,47000,50750,51700,49900,55000,56900,55000,51500,53500,49900,49500,49000,49700,53000,57500,57500,58000,54950,58850,55000,58450,64900,59900,65000,62000,59450,62000,59900,67875,61950,71250,69000,68900,69500,69200,69900,66500,68900,69900,78000,79000,75000,77900,79900,79900,79850,81000,82000,82000,79500,83950,84900,78900,76500,78900,79000,80850,82750,84900,83000,82900,82900,80000,82700,79999,85000,82500,85000,85000,86000,89900,89450,87000,87000,88250,88250,89850,89900,89450,88250,89000,93000,95000,93000,98000,98500,109999
"33063","Margate","FL","Miami-Fort Lauderdale","Broward",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37500,37500,35500,36000,36750,35000,35450,39900,43000,40000,42900,43000,42000,42000,42945,42990,42945,43950,42900,44900,44000,42450,39900,40950,42000,42000,41000,42900,43750,45000,43000,42450,43850,40000,44800,45000,45000,47900,48750,52500,56900,59900,55000,55000,54900,54900,55000,55300,54950,55000,54000,55000,55600,55000,57000,59900,57500,59900,59700,61000,58000
"10701","Yonkers","NY","New York","Westchester",21,127000,124500,127831,123000,109900,119000,119000,116750,114499.5,116500,108000,115000,115000,112000,119000,119000,115000,106450,119000,118450,116950,111000,107450,99999.5,1e+05,1e+05,99000,99500,95500,1e+05,98000,98000,95000,94500,95000,92500,95000,98500,98000,96500,98000,99000,102450,98500,102000,98250,99978.5,106000,104500,107910,102900,99500,99000,99000,99000,99500,99500,99000,94500,92200,99000,95000,102450,95000,1e+05,99750,99000,1e+05,99000,99000,92196.5,93699,89999,90000,90000,92199,95000,98999.5,98999,95000,89900,93000,95000,95000,97500,99000,99000,99000,98500,99000,99000,109000,115000,112500,109950,105000,107450,114000,120000,119000,126500,125000,127000
"33313","Lauderhill","FL","Miami-Fort Lauderdale","Broward",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37000,35000,35000,34850,36450,39900,39900,39900,39949.5,39900,39900,35000,36000,40000,40000,43000,40500,41950,43700,43350,44900,44900,42900,44450,47000,48000,47000,45000,47000,47000,47000,48000,49000,49700,47500,49230,48000,48000,50250,49950,49900,49900,49800,49900,49900,52000,52000,49999.5,52000,50500,50000,54250,54900,55000,56000,54999,55000,55000,56000,57900,58900,57450
"07087","Union City","NJ","New York","Hudson",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245000,245000,251000,259500,265000,260000,260000,260000,279000,279000,279900,275000,277000,277000,269900,289000,272000,297000
"77057","Houston","TX","Houston","Harris",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129500,125000,129900,129900,121500,129950,128500,125000,125000,125000,130950,135000,132000,128900,128000,128000,125000,119950,110000,119500,120000,122500,130000,130000,125000,130000,130000,140000,135000,132500
"33319","Lauderhill","FL","Miami-Fort Lauderdale","Broward",25,43250,42000,40000,39000,36500,35000,35000,36750,38000,37500,37250,34900,35000,37000,35000,33900,32950,33950,34900,34400,30000,31950,34500,32000,35000,39900,40000,40000,39900,38750,35900,40250,40500,39999,44900,44900,44900,43450,40000,42000,44900,41000,44250,45900,45200,45700,45500,45250,47000,49900,48450,52450,51245,49888,49995,49500,47700,47350,47900,49900,50000,52450,53750,58875,54900,54900,56900,58000,54900,54900,58000,57950,55500,54900,54900,57000,59900,60000,62450,59900,59900,59000,64400,62000,63900,62200,59945,63000,59000,59999,60000,59450,60000,60450,61000,60450,60000,60000,63500,60000,60900,62950,64900
"33321","Tamarac","FL","Miami-Fort Lauderdale","Broward",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65250,65000,62500,72000,72000,72900,74490,69900,69000,73900,69200,72950,70500,73350,79000,77450,74350,73900,79950
"90802","Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312900,339000,344000,350000,345000,362500,335000,339000,342500,349000,345000,334900,350000,349000,347000,332000,342500,335000,334900,340000,340000,347000,355000
"33141","Miami Beach","FL","Miami-Fort Lauderdale","Miami-Dade",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225000,199950,190950,186250,189000,185000,182000,187900,189000,205000,225000,245000,242500,252000,253000,244950,246500,258000,259000,269000,249450,268750,266750,255000,253000,242000,238500,236500,249999,259500,259000,263900,263900,268938.5,269900,269000,268000,259000,250000,254950,255250,249900,248000,248000
"96815","Honolulu","HI","Urban Honolulu","Honolulu",29,318000,318000,318500,320000,318500,299000,285000,275000,299900,315000,309000,317900,317900,315000,317000,310000,322500,320000,315000,320000,325000,323000,319950,328000,329000,319000,319000,325000,334500,339950,340000,350000,349450,339999,349500,345900,345900,365000,353500,349500,371500,325000,379500,386500,382000,349000,366500,359000,359000,348000,365000,375000,379000,365000,366000,369000,360000,380000,385000,382500,385000,387000,399000,405000,389000,389000,398000,389000,391000,392000,389000,397000,399000,369900,399000,397950,382500,390000,4e+05,4e+05,415000,415500,419000,410000,399000,410000,410000,395000,399000,4e+05,410000,388000,387500,405000,410000,432000,440000,449900,430000,425000,422000,408500,419000
"08759","Manchester","NJ","New York","Ocean",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30450,31000,33750,34888,34900,35200,37200,36400,36900,35013,35013,34950,34950,34900,34700,34000,34000,35000,35000,36200,39900,38950,38000,40450,37000,38450,38900,34900,35500
"33021","Hollywood","FL","Miami-Fort Lauderdale","Broward",31,54900,55000,54900,53400,50000,48000,48900,48000,47650,49000,49000,47250,47850,47650,45000,45000,44900,43900,47800,47500,49900,50000,49700,49000,49950,52000,47750,49900,49900,50000,49997.5,50000,58000,55900,55000,59000,57250,56750,56325,50000,50000,54900,63950,64350,64950,64000,66000,65000,65000,67500,67500,69900,69900,74900,79900,79900,79900,79900,87000,85000,90750,89250,85500,87950,80000,79900,72250,75950,79900,80000,89500,89900,88750,89500,89000,85450,86450,86450,89000,89250,89900,90000,90000,89250,89500,82200,83000,89900,89900,91000,93500,98000,98000,98000,95000,94900,90500,89950,94900,95000,95000,98450,98000
"07047","North Bergen","NJ","New York","Hudson",32,170000,170000,165000,165000,167450,178000,177000,189900,169500,169000,165000,169450,164900,165000,164900,148100,149000,146550,149900,149000,155000,156500,156500,161500,155000,145000,139450,135000,129900,135000,129388.5,129900,135000,129900,135000,145000,139000,139000,139000,130000,139000,139000,139000,154500,157000,157000,155750,149000,155000,148000,142500,145000,139000,150000,156700,150000,149000,149000,155000,159900,154500,149000,150000,159500,169900,172000,162449.5,159500,159000,159500,159749.5,159499.5,159000,167000,159499.5,160000,161000,163749.5,162499.5,159450,159900,159999,162499.5,159900,159000,159900,168900,169950,169950,170000,193017,179000,185000,179000,172450,187000,189000,185000,187000,182500,185000,182000,185000
"22201","Arlington","VA","Washington","Arlington",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399900,399950,399450,385000,389900,404500,412450,399900,399900,399000,399000,382000,384900,389900,395000,395000,395000
"33308","Fort Lauderdale","FL","Miami-Fort Lauderdale","Broward",34,159600,157900,149600,159999,159950,167000,172000,163500,159700,159800,159800,149750,152450,149000,159600,159000,150000,159000,155101,150000,149800,151000,159999.5,165000,160000,169000,175000,179000,149450,149000,149000,169700,155950,149000,149000,149900,159000,168250,184450,179450,189499.5,192400,199000,192000,199000,186900,179450,175000,179000,165000,175000,174500,174500,185000,182450,185000,185000,185000,179000,179000,179900,184900,160000,169500,195000,186000,182400,169900,179950,179900,179200,182450,184500,179900,179900,176950,179900,189900,189850,188400,195000,189900,192500,189900,185450,181100,180150,179999,179999.5,179999,179900,179600,177000,182450,185000,198000,195000,189700,189900,189900,199450,199995,2e+05
