"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07"
"60657","Chicago","IL","Chicago","Cook",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1472450,1500000,1546500,1546500,1475000,1511500,1548500,1450000,1550000,1550000,1550000,1512450,1562500,1599450,1549000,1499950,1520000,1499900,1499000,1520000,1510000,1499000,1520000,1522250,1497900,1450000,1450000,1464500,1487000,1499250,1499999,1499000,1512449.5,1499500,1499500,1582000,1589000,1669000,1650000,1550000,1499750,1470000,1386000
"75070","McKinney","TX","Dallas-Fort Worth","Collin",2,432900,439900,412495,399900,399000,389900,389900,387900,359000,369000,359000,359000,345995,339900,346990,354900,362445,395990,388200,372500,340900,336450,336450,322000,340900,364900,350990,383450,394950,383450,379900,350495,359900,352500,361420,369495,381990,389000,394995,382990,383990,396915.5,389900,389945,405990,404900,416945,399990,401990,401990,426990,433329.5,427691,436990,436990,439500,452023,448490,448990,475798,495490,485000,475000,475798,484500,461106,463205.5,426990,425000,470333,472000,459900,449950,458000,465433,467609,465683,476950,475000,491274,491274,488000,482048,480524,482048,474750,495000,518353.5,508090,518975,510284,510284,510000,504150,510356,524304,499900,5e+05,489000,499925,499000,498500,475000
"77494","Katy","TX","Houston","Harris",3,424065.5,420767,441712.5,425000,428990,420833.5,416120.5,405600,389950,388665.5,387950,392420.5,386436.5,380102,391000,389999,388495,389000,397681,389000,394231,394998.5,386096,389248,389574,399828.5,419840,420649.5,420900,418836,409900,420767,420900,423700,412000,429450,426369.5,429900,428119.5,440000,460949.5,450000,450000,447900,450890,458900,466235,470000,497900,499940,525000,539904.5,539909,536450,540778,543490,547710,539900,540389,533990,527462,530871,535243,542007,528481,524999.5,509995,492337,502242.5,499999.5,477490,469900,501079,472450,480000,492000,489900,489000,482900,484064.5,489900,480000,473250,475000,484038.5,495000,499250,499900,5e+05,519900,519900,495000,481487,483995,479900,499900,509500,524900,519999,522350,529900,515000,499450
"60614","Chicago","IL","Chicago","Cook",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2599999,2750000,2422500,2695000,2695000,2599500,2345000,2449999.5,2472500,2370000,2295000,2195000,2195000,2074500,2097000,2224000,2275000,2495000,2325000,2285000,2295000,2495000,2447000,2395000,2262500,2285000,2285000,2499500,2600000,2550000,2700000,2685000,2597000,2650000,2495000,2324500
"60640","Chicago","IL","Chicago","Cook",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949000,924500,899450,9e+05,937500,937500,884000,874500,937500,850000,975000,920000,925000,859999.5
"60647","Chicago","IL","Chicago","Cook",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499450,494450,499900,509900,499900,475000,489949.5,474499.5,464000,469000,464000,489500,492450,522000,559000,549900,535000,499000,549800,579900,575000,529499.5,529999,521950,547000,549000,549000,549000,549500,594950,580000,569750,609500,622500,6e+05,623500,6e+05,624500,649999,680000,665333,650000,665000,725000,649000,649000,639000,625000
"78660","Pflugerville","TX","Austin","Travis",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364990,359450,372727,372000,372000,366580,359400,359990,369950,374990,373885.5,373250,371636,369000,359490,344990,331990
"60618","Chicago","IL","Chicago","Cook",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574900,507500,492000,522500,524950,575000,562500,577000,610000,649950,659000,675000,674925,679000,650000,659900,645000,647000,627450,680000,699000,725000,695000,712000,767450,739500,739499.5,699000,659000,640000,639500,659000,665000,695000,695000,749000,769900,725000,724950,699900,675900,662450
"77573","League City","TX","Houston","Galveston",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425109.5,407445,403990,389500,395500,386745,386745,389500,386745,413329.5,419990,419990,413494.5,417329.5,419990,413500,415466,414490,411990,401990,401990,399995,406990,428942.5,434900,416990,425490,407945
"79912","El Paso","TX","El Paso","El Paso",10,469000,416450,404750,399500,4e+05,399000,399000,419950,424950,425500,441000,425000,425000,436937.5,426000,425000,436937.5,436100,421950,409750,424000,424450,425000,449900,449900,424000,429500,419950,411750,399000,415000,415000,392000,379900,375000,372450,379900,374900,396250,396250,399000,417450,399000,399916.5,399933,399000,399450,404500,410000,385000,392000,409700,412250,404550,404550,404700,423450,415000,420975,425000,425000,422475,425000,399900,399900,419000,422250,422250,420000,4e+05,4e+05,399925,397250,390000,399950,417450,449500,430350,440400,459250,431500,459500,465500,466000,472950,477950,439350,465000,449000,449000,435000,419900,437250,439500,449500,460000,479900,479900,479000,469000,459000,449500,459000
