"RegionName","City","State","Metro","CountyName","SizeRank","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07"
"10025","New York","NY","New York","New York",1,,,,,,,,,,,,4037.5,4200,4137.5,3997.5,3600,3790,4100,3995,4225,4275,4395,4100,4100,4200,4200,4200,4200,4250,4550,4700,4700,4500,4500,4500,4500,4500,4412.5,4425,4395,4250,4000,4300,4400,4350,4390,4392.5,4495,4495,4372.5,4250,4500,4500,4500,4547.5,4500,4500,4600,4800,4750,4300,4450,4500,4400,4500,4350,4300,4325,4325,4395,4350,4395,4400,4395,4500,4450,4447.5,4300,4500,4575,4372.5,4500,4400,4487.5,4457.5,4375,4297.5,4250,4295,4400,4497,4300,4496,4395,4495,4495,4500,4500,4449,4295,4200
"60657","Chicago","IL","Chicago","Cook",2,,,,,,,,,,,2200,2295,2300,2200,2200,2345,2350,2380,2495,2450,2400,2200,2400,2400,2385,2300,2300,2460,2450,2562.5,2500,2700,2650,2577.5,2550,2575,2300,2500,2595,2600,2600,2495,2495,2400,2397.5,2395,2400,2495,2495,2500,2600,2600,2550,2500,2500,2495,2495,2500,2500,2500,2395,2500,2600,2600,2600,2500,2455,2400,2400,2485,2500,2650,2600,2600,2695,2675,2685,2600,2600,2538,2400,2550,2500,2500,2695,2600,2695,2700,2695,2700,2600,2500,2450,2495,2500,2595,2600,2600,2669,2600,2600
"10023","New York","NY","New York","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7975,7800,7500,7563,7700,6995,6525,6749.5,6995,6900,6995,6999,6995,6999,7288,6972.5,6890
"75070","McKinney","TX","Dallas-Fort Worth","Collin",4,,,,,,,,,,,,1395,1387.5,1395,1500,1500,1450,1450,1500,1425,1435,1475,1475,1450,1495,1513,1550,1495,1495,1500,1450,1450,1450,1450,1450,1450,1500,1522,1550,1550,1550,1595,1650,1650,1595,1595,1595,1595,1595,1597,1600,1620,1635,1595,1595,1600,1650,1650,1650,1650,1675,1650,1680,1695,1690,1691,1695,1695,1695,1695,1695,1695,1695,1695,1750,1700,1749.5,1750,1650,1700,1765,1695,1750,1750,1750,1767.5,1795,1795,1785,1750,1750,1775,1750,1750,1750,1755,1750,1775,1795,1792.5,1795
"77494","Katy","TX","Houston","Harris",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1650,1650,1650,1650,1675,1750,1800,1800,1850,1796,1750,1795,1800,1809,1823,1823,1823,1823,1823,1800,1800,1850,1850,1850,1850,1842.5,1850,1850,1829,1833,1833,1879.5,1875,1875,1850,1895,1900,1847.5,1832.5,1817.5,1850,1800,1800,1815,1800,1800,1850,1797.5,1800,1767.5,1700,1800,1750,1785,1750,1759,1769,1800,1802.5,1800,1800,1890,1850,1850,1857,1859,1889.5,1879,1890,1850,1869
"60614","Chicago","IL","Chicago","Cook",6,,,,,,,,,,,2400,2375,2372.5,2295,2175,2425,2495,2495,2495,2495,2500,2400,2499,2400,2400,2350,2400,2600,2600,2800,2712.5,2900,3000,2800,2700,2700,2400,2600,2600,2700,2650,2700,2550,2500,2550,2550,2645,2645,2600,2625,2695,2700,2750,2625,2525,2500,2700,2700,2800,2750,2450,2697.5,2792.5,2800,2795,2800,2800,2800,2800,2750,2837.5,2875,2950,2800,2800,2950,2895,2897.5,2800,2800,2812.5,2800,2700,2900,2900,2900,2950,2995,2850,2850,2800,2700,2695,2700,2750,2850,2875,2875,2850,2895,2800
"79936","El Paso","TX","El Paso","El Paso",7,,,,,,,,,,,,,,,1050,1050,1050,1000,1060,1097.5,1095,1000,1050,1050,1072.5,1125,1025,1100,1050,1050,1000,975,975,975,950,962.5,975,975,995,995,995,1000,1000,1000,950,995,962.5,950,950,950,950,975,950,950,950,965,995,1000,1000,1000,1000,1045,1035,1050,1050,1042.5,1040,1050,1037.5,1000,1000,1000,1000,1000,1000,995,1000,1000,995,1050,975,975,990,1000,1000,1000,997.5,1000,1000,1050,1032.5,1000,1000,1000,1000,985,1000,1000,1000,1025,1037.5
"77084","Houston","TX","Houston","Harris",8,,,,,,,,,,,,,,,,,,,1200,1150,1150,1095,1065,1095,1100,1100,1125,1162.5,1200,1150,1148,1200,1250,1250,1263.5,1325,1251,1282,1385,1347,1375,1335,1335,1360,1335,1350,1424,1350,1335,1335,1300,1300,1350,1350,1345,1300,1345,1324.5,1322,1350,1350,1350,1390,1390,1400,1400,1400,1395,1395,1400,1375,1395,1395,1400,1400,1449.5,1400,1419,1395,1400,1395,1350,1395,1390,1400,1400,1400,1400,1400,1400,1400,1400,1399.5,1400,1400,1450,1450,1450,1495,1475,1450
"10002","New York","NY","New York","New York",9,,,,,,,,,,,,,,,,3497.5,3750,3750,3750,3870,3825,3685,3600,3747.5,3995,3995,4272.5,4197.5,4342.5,4525,4700,4250,4075,4050,4195,4200,4100,4000,4050,4200,4150,4150,4250,4297.5,4200,4200,4200,4295,4300,4350,4395,4297.5,4468.5,4500,4500,4447.5,4225,4200,4200,4397.5,4450,4375,4600,4675,4639.5,4685,4625,4525,4500,4540,4450,4400,4795,4697.5,4500,4872.5,4625,4750,4499,4900,4500,4550,4650,4495,4495,4493.5,4495,4497.5,4500,4525,4400,4172.5,4400,4450,4500,4500,4650,4672.5,4725,4595,4685
"10467","New York","NY","New York","Bronx",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1950,2000,2000,2000,2100,2050,2000,2000,2000,2100,2150,2195,2150,2150,2175,2200,2175
"60640","Chicago","IL","Chicago","Cook",11,,,,,,,,,,,,,,,,,1660,1600,1612.5,1600,1595,1550,1595,1700,1750,1750,1650,1812.5,1837.5,1800,1850,1695,1650,1675,1772.5,2012.5,1795,1800,1800,1895,2042.5,2199.5,2295,2200,1995,1995,2095,2050,1995,1995,1995,1950,1972.5,2000,1950,1845,1845,1875,2199,2200,1900,2100,2200,2200,2100,2195,2250,2100,1997.5,2000,2150,1972.5,2200,2200,2272.5,2200,2000,2199.5,2195,2200,2000,1950,2000,2150,2300,2300,2250,2200,2150,2100,2100,2000,2050,2000,2125,2150,2175,2100,2200,2150,2150
"77449","Katy","TX","Houston","Harris",12,,,,,,,,,,,,,,,1100,1150,1150,1150,1175,1195,1150,1100,1150,1150,1162.5,1200,1200,1200,1200,1200,1200,1200,1200,1250,1200,1197.5,1250,1200,1262.5,1250,1250,1300,1300,1300,1300,1295,1300,1250,1229.5,1250,1324.5,1350,1350,1350,1345,1350,1350,1350,1350,1350,1350,1375,1395,1395,1397.5,1395,1375,1400,1395,1395,1375,1395,1395,1425,1380,1400,1439,1377.5,1360.5,1369,1370,1375,1350,1350,1375,1395,1400,1400,1400,1395,1395,1395,1400,1400,1400,1405,1425,1425,1450,1450,1450
"11226","New York","NY","New York","Kings",13,,,,,,,,,,,,,,,,,,,,,,,,,1750,1750,1700,1975,1975,1900,1800,1870.5,1832,1875,1900,1950,1900,1900,2095,2100,2200,2300,2250,2100,2000,2100,2000,2100,2100,2150,2150,2200,2200,2100,2150,2300,2295,2100,2100,2200,2300,2300,2450,2400,2375,2375,2375,2312.5,2300,2300,2400,2400,2400,2375,2350,2400,2400,2400,2500,2450,2400,2350,2400,2395,2400,2450,2499.5,2500,2500,2500,2500,2450,2450,2450,2492.5,2499,2490,2550,2500,2500,2550
"10016","New York","NY","New York","New York",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5746,5700,5900,5900,5800,5746,5566,5746,5722.5,5500,5683,5600,5500,5500,5557.5,5568,5500,5745,5745,5500,5400,5450,5500,5500,5500,5897.5,5550,5500,5763,5564,6000,6000,5745.5,5746,5780,5850,5800,5787.5,5700,5600,5700,5746,5790,5763,5746,5795,5697.5,5597.5
"11235","New York","NY","New York","Kings",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2380,2325,2400,2312.5,2300,2350,2300,2700,2550,2375,2375,2400,2400,2300,2300,2300,2300,2275,2350,2350,2200,2295,2295,2300,2300,2380,2399,2500,2500,2500,2500,2300,2350,2400,2500,2500,2400,2500,2300,2500,2350,2450,2450,2450,2400,2375,2450,2550,2450,2450,2600,2550,2400,2400,2650,2562.5,2500,2500,2499,2500,2500,2500
"37013","Nashville","TN","Nashville","Davidson",16,,,,,,,,,,,,,1099,1150,1112.5,1100,1125,1125,1095,1095,1054.5,1050,1050,1079,1082,1112.5,1195,1125,1200,1150,1139,1100,1100,1150,1100,1110,1124.5,1150,1129,1100,1100,1195,1150,1195,1134.5,1150,1195,1225,1250,1250,1250,1295,1250,1250,1250,1295,1362.5,1335,1300,1312.5,1375,1350,1299.5,1305,1295,1300,1395,1395,1375,1350,1395,1360,1395,1395,1395,1372,1397,1449,1395,1375,1395,1395,1450,1425,1432,1495,1450,1480,1495,1505,1562.5,1497.5,1495,1495,1495,1545,1550,1562.5,1595,1595,1595
"60647","Chicago","IL","Chicago","Cook",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050,2150,2100,1995,1995,1995,1900,1900,2000,2090,2000,2000,2072.5,2200,2200,2100,2195,2047.5,1995,1997.5,2095,2000,2000,2195,2150,2150,2195,2195,2195,2095,2000,1950,1999,2100,2200,2100,2100,2100,2100
"37211","Nashville","TN","Nashville","Davidson",18,,,,,,,,,,,,,,,,,1350,1350,1295,1250,1193,1295,1257,1272.5,1300,1368.5,1350,1450,1400,1300,1197,1205,1350,1390,1200,1238.5,1311.5,1346,1175,1188,1258,1327,1395,1400,1395,1395,1395,1397.5,1395,1395,1456,1397.5,1420.5,1450,1450,1495,1400,1500,1525,1497.5,1462.5,1550,1450,1481,1537.5,1625,1675,1500,1595,1595,1600,1595,1547.5,1595,1595,1621.5,1595,1600,1597.5,1450,1525,1620,1565,1695,1695,1624,1650,1650,1625,1600,1685,1632.5,1607.5,1600,1645,1685,1681,1650,1690,1650,1650
"10009","New York","NY","New York","New York",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5374,5374,4495,4350,4400,4449.5,4400,4350,4400,4495,4350,4400,4490,4350,4400,4495,4400,4495,4387.5,4275,4250,4272.5,4197.5,4350,4300,4495,4500,4500,4495,4500,4500,4495,4350,4200,4200,4325,4250,4350,4495,4500,4564.5,4632
"78660","Pflugerville","TX","Austin","Travis",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1495,1562.5,1622.5,1580,1595,1650,1650,1652.5,1650,1679,1650,1600,1600,1695,1625,1625,1625,1625,1667,1696,1695
"60618","Chicago","IL","Chicago","Cook",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,1950,1995,1797.5,1700,1725,1700,1750,1700,1800,1995,1950,2100,2100,2000,1900,1850,1800,1800,1800,1695,1700,1800,1900,1975,1999,2000,1875,1962.5,1950,1950,1825,1800,1875,1905,1950,2000,2150,2047.5,2000,1990,1995,1850,1997.5,2100,2100,2100,2000,2000,2100,2100,1995,1950,1900,1950,1950,2150,2195,2175,2000,2000
"10029","New York","NY","New York","New York",22,,,,,,,,,,,,,,,,2995,2895,2797.5,2700,2500,2650,2995,3095,3000,3095,3300,3390,3450,3300,3395,3495,3495,3495,3397,3395,3395,3395,3395,3399.5,3300,3200,3295,3400,3495,3495,3495,3400,3400,3400,3400,3400,3495,3450,3420,3450,3397.5,3300,3395,3295,3295,3150,3297.5,3500,3500,3450,3450,3450,3400,3387,3325,3400,3400,3500,3497,3400,3495,3300,3500,3450,3450,3472.5,3400,3425,3350,3300,3400,3472.5,3450,3450,3450,3250,3250,3000,3212.5,3300,3300,3295,3425,3500,3600,3595
"10011","New York","NY","New York","New York",23,,,,,,,,,,,,,,,,,,,,,,,5000,5100,4995,4995,5050,5195,5400,5400,5436.5,5595,5625,5500,5339,5295,5350,5450,5495,5495,5500,5500,5500,5500,5500,5595,5495,5495,5595,5500,5500,5695,6200,5691.5,5615,5495,5600,5500,5595,5500,5495,5800,5800,5995,5924.5,5975,6025,6475,5795,5922.5,6150,5945,5895,5895,5995,5861,5547.5,5600,5200.5,5695,5400,5550,5800,5700,5400,5700,6225,6000,6000,5972.5,5900,5775,5555,5797.5,5650,5897.5,5800,5600,6095,5922.5,5747.5
"10128","New York","NY","New York","New York",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800,4800,4800,4997.5,4972.5,4800,4593,5097.5,4700,4067.5,4250,4400,4400,4200,4187.5,4350,4275,4250,4200,4092,4185,4495,4200,4497.5,4035,4300,4250,4465,4269,4269,4495,4595,4495,4595,4300,4400,4400,4680,4500,4495,4750,4500,4400,4500,4325,4300,4497.5,4400
"28269","Charlotte","NC","Charlotte","Mecklenburg",25,,,,,,,,,,,985,995,995,1050,985,1000,1110,1095,1050,1050,1050,1050,1000,1000,1085,1095,1075,1097,1100,1100,1095,1097.5,1095,1080.5,1092.5,1095,1095,1109.5,1119,1119,1109.5,1157.5,1150,1150,1100,1095,1095,1100,1100,1100,1150,1150,1195,1167.5,1150,1150,1175,1162.5,1175,1150,1195,1217.5,1217.5,1250,1250,1250,1230,1250,1225,1233,1250,1250,1270,1250,1275,1275,1292,1295,1295,1250,1295,1262.5,1282,1300,1311,1350,1395,1395,1375,1395,1395,1395,1400,1407.5,1395,1395,1450,1495,1450,1447,1450
"11201","New York","NY","New York","Kings",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6500,6396,6323.5,6394,6250,5975,5850,6400,5626,6125,6470,6492,6000,5892.5
