"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07"
"10025","New York","NY","New York","New York",1,,,,2750,2587.5,2635,2617.5,2750,2775,2775,2750,2812.5,2785,2775,2700,2695,2775,2800,2895,2800,2875,2800,2995,3109,3295,3125,2985,2984,3000,3100,3195,3200,3250,3200,3200,3200,3250,3200,3200,3250,3207.5,3250,3295,3250,3200,3195,3000,3175,3150,3100,3145,3105,3195,3195,3195,3122.5,3100,3095,3100,3175,3195,3195,3182.5,3150,3175,3180,3050,3050,3240,3200,3095,3207,3295,3200,3000,3200,3097.5,3100,3105.5,3100,3070,3200,3250,3295,3200,3100,3110.5,3173,3132.5,3069,3050,3141.5,3200,3245
"60657","Chicago","IL","Chicago","Cook",2,,,,,,1200,1175,1250,1350,1310,1285,1295,1312.5,1260,1270,1350,1475,1400,1450,1495,1600,1600,1525,1577.5,1545,1575,1500,1525,1545,1500,1525,1525,1525,1425,1465,1395,1350,1416,1400,1479,1495,1473.5,1495,1500,1500,1497.5,1427.5,1410,1525,1550,1565,1600,1550,1550,1650,1695,1750,1697,1525,1595,1475,1495,1495,1475,1505,1575,1575,1595,1650,1550,1473.5,1450,1500,1437.5,1450,1475,1525,1560,1550,1605,1635,1595,1595,1595,1575,1500,1525,1595,1550,1595,1595,1675,1670,1675
"10023","New York","NY","New York","New York",3,,,3000,2880,2990,2971,3000,3100,3100,3400,3195,3330,3140,3185,3295,3195,3200,3195,3200,3250,3295,3200,3350,3300,3309.5,3325,3200,3200,3100,3250,3195,3200,3300,3300,3399,3495,3500,3400,3400,3400,3400,3440,3450,3450,3495,3400,3500,3440,3400,3450,3390,3369,3447,3460,3495,3300,3300,3400,3425,3445,3300,3300,3300,3262.5,3295,3295,3325,3300,3238,3272.5,3200,3300,3350,3275,3200,3165.5,3230,3200,3199.5,3250,3299.5,3400,3309.5,3300,3424.5,3375,3314.5,3387.5,3350,3195,3200,3295,3299,3237.5
"60614","Chicago","IL","Chicago","Cook",4,,,,,1400,1445,1500,1500,1595,1500,1432.5,1520,1520,1637.5,1600,1600,1595,1600,1600,1709,1825,1775,1672,1645,1700,1672,1600,1679.5,1687,1695,1695,1840,1800,1800,1670,1660,1595,1665,1670,1750,1700,1660,1675,1650,1800,1750,1750,1800,1895,1965.5,1895,1930.5,1840,1695,1730,1895,2000,1895,1895,1824,1800,1900,1963,1895,1970,1900,1882.5,1900,1950,1840,1662.5,1725,1600,1662.5,1600,1655,1700,1750,1750,1800,1895,1950,1900,1875,1817.5,1800,1889,1850,1800,1850,1900,1950,1950,1900
"10002","New York","NY","New York","New York",5,,,,,,2400,2297,2300,2350,2395,2595,2495,2512.5,2525,2495,2497.5,2500,2547.5,2650,2600,2600,2600,2550,2572.5,2737.5,2800,2600,2595,2597.5,2650,2699.5,2750,2750,2750,2750,2750,2800,2785,2750,2750,2700,2795,2795,2795,2892.5,2950,3075,3050,3000,3062.5,3100,2995,3000,2995,2972.5,2900,3150,3150,3199,3300,3100,3095,3000,3100,3100,3075,2995,2995,3381,3096.5,3200,3274.5,2995,3200,2995,2900,3200,3050,3062.5,3200,3200,3200,3198,3100,2995,2948.5,2895,2860,2899.5,3000,3100,3200,3195,3208
"10467","New York","NY","New York","Bronx",6,,,,,,,,,,,,,,,,,,,,,,,1200,1200,1175,1150,1275,1300,1300,1250,1295,1283.5,1250,1262.5,1275,1250,1250,1200,1200,1249,1250,1250,1250,1200,1225,1250,1300,1300,1250,1280,1300,1300,1300,1300,1300,1325,1350,1400,1400,1400,1400,1400,1400,1400,1400,1450,1450,1425,1450,1450,1400,1450,1497.5,1495,1495,1475,1500,1498,1500,1500,1500,1500,1550,1525,1550,1525,1537.5,1550,1625,1600,1600,1550,1675,1700
"60640","Chicago","IL","Chicago","Cook",7,,,,825,837.5,916,875,850,815,845,815,800,800,895,895,985,995,999.5,1060,1062.5,997,1022.5,1145,1095,1150,1175,1145,1145,1136.5,1150,1100,1100,1100,1145,1135,1195,1160,1167.5,1150,1180,1175,1175,1175,1175,1175,1195,1195,1200,1195,1250,1200,1200,1200,1197.5,1195,1200,1225,1300,1295,1225,1295,1300,1280,1267.5,1300,1350,1350,1300,1300,1285,1195,1225,1200,1195,1175,1200,1295,1300,1350,1350,1350,1350,1350,1300,1337.5,1300,1355,1400,1450,1440,1450,1495,1500,1462.5
"94109","San Francisco","CA","San Francisco","San Francisco",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3750,3625,3395,3200,3400,3600,3600,3650,3800,3750,3995,3947.5,4000,4150,3950,3800,3875,3750,3800,3950,3995,3825,3795,3750,3600,4000,3875,3603,3995,4200,3700,4020,3550,3600,3495,3552.5,3600,3500,3450,3450,3300,3550,3500,3450,3300,3295,3197,3122.5,3450,3350,3450,3495,3500,3495,3495,3372.5
"11226","New York","NY","New York","Kings",9,,,,,,,,,,,,,,1487.5,1400,1385,1300,1297.5,1350,1295,1400,1400,1400,1350,1400,1375,1508.5,1550,1500,1500,1499,1600,1700,1700,1750,1700,1600,1550,1600,1650,1650,1650,1675,1750,1795,1775,1750,1750,1800,1800,1795,1795,1775,1800,1850,1950,1850,1849,1895,1895,1950,1900,1900,1900,1900,1900,1912.5,1950,1999,1999,1961,2100,1925,2000,1849.5,1900,1900,1950,1950,1966,2000,2083,2000,2000,2000,1950,1950,1999,2000,1999,2000,2028,2150,2199
"10016","New York","NY","New York","New York",10,,,,2500,2550,2700,2750,2800,2850,2897.5,2900,2900,2912.5,2995,2900,2900,2900,2900,2900,3075,3095,3095,3150,3150,3150,3125,3050,3000,3000,3000,3000,3100,3100,3152.5,3200,3195,3175,3100,3100,3075,3100,3122.5,3150,3200,3200,3450,3421,3395,3375,3400,3436.5,3395,3395,3457,3450,3400,3400,3400,3395,3350,3300,3300,3250,3250,3295,3295,3295,3312.5,3300,3300,3295,3350,3400,3300,3300,3220,3285,3300,3375,3400,3395,3400,3400,3400,3395,3300,3300,3300,3300,3300,3381,3450,3495,3470
"11375","New York","NY","New York","Queens",11,,,,,,,,,,,,,1900,2000,1900,1995,1972.5,2100,2000,2100,1937.5,1950,1900,1875,1800,1850,1995,1895,1912.5,1895,1900,1895,2000,2000,2000,1968,1925,1925,1950,1950,1950,1950,1925,1987.5,1975,2000,1950,2015,2000,1950,2000,2050,2050,2000,2100,2150,2185,2195,2200,2200,2195,2225,2250,2250,2200,2195,2150,2200,2100,2270,2162.5,2200,2200,2200,2137,2100,2100,2000,2000,1997,2000,2000,2100,2100,2100,2095,2000,1997,2000,2000,1985,1950,1975,2000
"11235","New York","NY","New York","Kings",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2100,1800,1950,1950,2150,2200,2275,2225,2185,2100,2000,1995,1950,1995,2000,1999.5,2050,2075,2050
"90250","Hawthorne","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,1212.5,1150,1250,1250,1250,1250,1295,1275,1295,1300,1300,1295,1330,1337.5,1325,1350,1337.5,1400,1450,1400,1450,1450,1412.5,1400,1387.5
"60647","Chicago","IL","Chicago","Cook",14,,,,,,1200,1299.5,1125,1250,1050,1050,1125,1199.5,1200,1200,1200,1195,1200,1272.5,1295,1200,1200,1250,1300,1322.5,1250,1250,1325,1295,1297.5,1295,1295,1250,1250,1275,1250,1275,1350,1295,1300,1325,1300,1350,1250,1295,1342.5,1300,1295,1250,1300,1295,1395,1395,1250,1400,1400,1450,1395,1350,1395,1400,1400,1400,1425,1450,1450,1495,1395,1450,1425,1395,1400,1300,1500,1595,1450,1495,1590,1595,1595,1600,1650,1650,1600,1650,1750,1650,1600,1600,1650,1700,1750,1750,1695
"10009","New York","NY","New York","New York",15,,,,,2800,2595,2595,2595,2645,2655,2695,2675,2800,2900,2897.5,2895,2895,2825,2895,2950,2990,2950,2900,3000,3000,2995,2895,2895,2900,2899,2900,2995,3000,3075,3000,3100,3100,3100,3000,3000,3095,3090,3095,3195,3100,3139,3185,3197.5,3197.5,3100,3000,3000,3000,3000,3200,3050,3150,3150,3200,3245,3150,2995,3000,2995,2995,3000,3100,3300,3281,3255,3300,3095,3000,3107,2995,2984.5,3000,3000,3200,3200,3195,3200,3200,3000,3000,2897,2895,2895,2998.5,2995,3200,3300,3300,3295
"60618","Chicago","IL","Chicago","Cook",16,,,,,,,1325,1100,1175,1095,1187.5,1095,1150,1250,1250,1225,1375,1350,1350,1250,1200,1300,1250,1350,1300,1200,1250,1300,1250,1250,1250,1325,1250,1400,1462.5,1397.5,1300,1300,1350,1350,1350,1350,1350,1450,1300,1425,1400,1395,1400,1362.5,1350,1350,1450,1275,1300,1350,1450,1425,1425,1400,1400,1400,1400,1400,1400,1400,1400,1495,1500,1500,1450,1450,1385,1350,1400,1400,1450,1425,1462.5,1575,1550,1545,1500,1495,1499.5,1500,1475,1475,1480,1490,1500,1550,1550,1550
"10029","New York","NY","New York","New York",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2850,2800,2850,2850,2850,2900,2885,2895,2897.5,2850,2700,2700,2750,2750,2800,2750,2725,2700,2650,2600,2676,2650,2700,2697.5,2700,2750,2800,2700
"10011","New York","NY","New York","New York",18,,,,,,2800,2800,2795,2845,2895,2795,2817.5,3025,3200,3200,3250,3300,3300,3295,3495,3400,3400,3400,3450,3300,3303,3250,3250,3295,3300,3400,3400,3450,3495,3500,3500,3600,3500,3500,3500,3500,3500,3571,3521,3600,3500,3500,3600,3620,3600,3695,3742.5,3700,3650,3795,3647.5,3577,3550,3695,3650,3750,3450,3450,3495,3500,3500,3500,3550,3595,3504,3597.5,3500,3750,3500,3500,3500,3598,3595,3695,3790,3725,3695,3700,3690,3700,3700,3615,3615,3720,3800,3795,3800,3895,3800
