"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-07-31,61639,"10025","NY","New York","New York","New York",0,1112600,-0.00554165176975331,-0.0127772848269743,0.0129278951201748,,,"2017-12","2017-Q4",1142100,-0.0258296121180282,"2017-10"
2018-07-31,84654,"60657","IL","Chicago","Cook","Chicago",1,344200,-0.00462695199537305,-0.0146006298310908,0.000290613193839,,,"2018-03","2018-Q1",350800,-0.0188141391106043,"2017-10"
2018-07-31,61637,"10023","NY","New York","New York","New York",2,1478100,-0.017286084701815,-0.020736716576123,-0.0861258810436503,,,"2016-12","2016-Q4",1621200,-0.0882679496669134,"2015-07"
2018-07-31,90668,"75070","TX","Dallas-Fort Worth","Collin","McKinney",3,322400,-0.00216651191581554,0.000620732464307883,0.049820905242592,,,"2018-06","2018-Q2",323100,-0.00216651191581554,"2018-05"
2018-07-31,91982,"77494","TX","Houston","Harris","Katy",4,336600,0.00238237045860631,0.0126353790613718,0.0492518703241895,,,"2018-07","2018-Q3",336600,0,"2018-07"
2018-07-31,84616,"60614","IL","Chicago","Cook","Chicago",5,426000,0.00188146754468485,-0.000938086303939962,0.0118764845605701,,,"2018-03","2018-Q1",427900,-0.00444028978733349,"2018-02"
2018-07-31,93144,"79936","TX","El Paso","El Paso","El Paso",6,123300,0.0032546786004882,0.0164880461665293,0.0343959731543624,,,"2007-10","2007-Q4",132400,-0.0687311178247734,"2007-03"
2018-07-31,91733,"77084","TX","Houston","Harris","Houston",7,166400,0.00301386377335744,0.0133982947624848,0.0558375634517767,,,"2018-07","2018-Q3",166400,0,"2018-07"
2018-07-31,61616,"10002","NY","New York","New York","New York",8,1013500,0.00277035717819333,0.0186953462659564,0.0183882636655949,,,"2018-07","2018-Q3",1013500,0,"2018-07"
2018-07-31,61807,"10467","NY","New York","Bronx","New York",9,410200,0.0100960354592465,0.0283279017297568,0.116494284158955,,,"2018-07","2018-Q3",410200,0,"2018-07"
