"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-07-31,"10025","NY","New York","New York","New York",0,3454,-0.00403690888119954,-0.00832615561297732,-0.0267681036911806,22431
2018-07-31,"60657","IL","Chicago","Cook","Chicago",1,1809,-0.00165562913907285,-0.00440286186020914,-0.056830031282586,32223
2018-07-31,"10023","NY","New York","New York","New York",2,3646,-0.00572675211344423,-0.0212080536912752,-0.0542153047989624,29114
2018-07-31,"75070","TX","Dallas-Fort Worth","Collin","McKinney",3,1893,-0.000527983104540655,-0.00158227848101266,-0.0217054263565891,28948
2018-07-31,"77494","TX","Houston","Harris","Katy",4,2187,-0.000913659205116492,-0.000457038391224863,0.0139082058414465,31576
2018-07-31,"60614","IL","Chicago","Cook","Chicago",5,1949,-0.00459652706843718,-0.0215863453815261,-0.0926443202979516,33150
2018-07-31,"79936","TX","El Paso","El Paso","El Paso",6,991,-0.00100806451612903,-0.00201409869083585,-0.00301810865191147,31486
2018-07-31,"77084","TX","Houston","Harris","Houston",7,1444,0.000693000693000693,0.0013869625520111,0.0119131044148563,26718
2018-07-31,"10002","NY","New York","New York","New York",8,3668,-0.00298994291927154,-0.00217627856365615,-0.012119579854565,9172
2018-07-31,"10467","NY","New York","Bronx","New York",9,1795,0,0,0.0233751425313569,7339
2018-07-31,"60640","IL","Chicago","Cook","Chicago",10,1593,0,0.00125707102451289,-0.023298589822195,22477
2018-07-31,"77449","TX","Houston","Harris","Katy",11,1444,0,0.000693000693000693,0.0140449438202247,31979
2018-07-31,"94109","CA","San Francisco","San Francisco","San Francisco",12,4394,-0.00204406086759028,-0.00385400136023577,-0.00969123281496507,9561
2018-07-31,"11226","NY","New York","Kings","New York",13,2206,-0.00541027953110911,-0.0186832740213523,0.0289179104477612,10575
2018-07-31,"10016","NY","New York","New York","New York",14,3657,0.000273522975929978,0.00549903766840803,-0.00408496732026144,26908
2018-07-31,"11375","NY","New York","Queens","New York",15,2146,0.000932835820895522,0.00233535730966838,0.00327255726975222,22413
2018-07-31,"11235","NY","New York","Kings","New York",16,2199,-0.00317316409791478,-0.0165474060822898,-0.00990544799639802,16914
2018-07-31,"37013","TN","Nashville","Davidson","Nashville",17,1474,0.00203942895989123,0.00820793433652531,0.0221914008321775,22726
2018-07-31,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Hawthorne",18,2718,-0.0033003300330033,0.00517751479289941,0.0478026214340786,14870
2018-07-31,"60647","IL","Chicago","Cook","Chicago",19,1753,-0.00170842824601367,-0.00623582766439909,-0.0341597796143251,20165
2018-07-31,"37211","TN","Nashville","Davidson","Nashville",20,1539,0,0,-0.00129785853341986,20517
2018-07-31,"10009","NY","New York","New York","New York",21,3670,-0.00244631693394944,-0.0102481121898598,-0.0455136540962289,9251
2018-07-31,"78660","TX","Austin","Travis","Pflugerville",22,1621,0.000617283950617284,0.00185414091470952,-0.0139902676399027,23295
2018-07-31,"60618","IL","Chicago","Cook","Chicago",23,1771,-0.00225352112676056,-0.0100614868641699,-0.0442525634106854,20788
2018-07-31,"10029","NY","New York","New York","New York",24,2837,-0.00351246926589392,-0.0173190162798753,-0.0596619158104077,5782
