"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-07-31,"10025","NY","New York","New York","New York",0,3559,-0.00280190529560101,-0.0075292805354155,-0.0388873886038347,11590
2018-07-31,"60657","IL","Chicago","Cook","Chicago",1,1958,-0.00609137055837563,-0.021978021978022,-0.0715979137031769,19955
2018-07-31,"10023","NY","New York","New York","New York",2,3733,-0.00665247472059606,-0.0235417211613916,-0.0846002942618931,16863
2018-07-31,"75070","TX","Dallas-Fort Worth","Collin","McKinney",3,1901,-0.00105097214923805,-0.00419067574646412,-0.0216160576428204,27381
2018-07-31,"77494","TX","Houston","Harris","Katy",4,2250,0,0.000444642063139173,0.00133511348464619,26710
2018-07-31,"60614","IL","Chicago","Cook","Chicago",5,2192,-0.000455996352029184,-0.00634632819582956,-0.0600343053173242,22779
2018-07-31,"79936","TX","El Paso","El Paso","El Paso",6,994,0,-0.00300902708124373,-0.00699300699300699,29177
2018-07-31,"77084","TX","Houston","Harris","Houston",7,1443,0,0.000693481276005548,0.0133426966292135,25525
2018-07-31,"10002","NY","New York","New York","New York",8,3719,0.00107671601615074,0.010048886474742,0.0141805290428143,3802
2018-07-31,"10467","NY","New York","Bronx","New York",9,1790,0,0.000558971492453885,0.0269650028686173,1043
2018-07-31,"60640","IL","Chicago","Cook","Chicago",10,1613,0,-0.00554870530209618,-0.0323935212957408,15051
2018-07-31,"77449","TX","Houston","Harris","Katy",11,1443,0,0.000693481276005548,0.0169133192389006,29511
2018-07-31,"94109","CA","San Francisco","San Francisco","San Francisco",12,4423,-0.00135470760894107,-0.00293056807935077,-0.00337990085624155,6444
2018-07-31,"11226","NY","New York","Kings","New York",13,2294,-0.00477223427331887,-0.0204953031596926,-0.00735612289052358,2383
2018-07-31,"10016","NY","New York","New York","New York",14,3781,0.0021203286509409,0.00826666666666667,0.0191374663072776,12425
2018-07-31,"11375","NY","New York","Queens","New York",15,2161,0.00139017608897127,0.00511627906976744,0.00745920745920746,14260
2018-07-31,"11235","NY","New York","Kings","New York",16,2237,-0.00267498885421311,-0.0162708883025506,-0.00400712377560107,8672
2018-07-31,"37013","TN","Nashville","Davidson","Nashville",17,1479,0.00203252032520325,0.00886766712141883,0.0242382271468144,20170
2018-07-31,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Hawthorne",18,2829,-0.00422386483632524,0.00212539851222104,0.0470022205773501,10712
2018-07-31,"60647","IL","Chicago","Cook","Chicago",19,1920,-0.00207900207900208,-0.00979886539453326,-0.0457256461232604,11867
2018-07-31,"37211","TN","Nashville","Davidson","Nashville",20,1548,-0.000645577792123951,-0.00578034682080925,-0.0140127388535032,18679
2018-07-31,"10009","NY","New York","New York","New York",21,4211,0.000712927756653992,0.00959002637257252,-0.00870998116760829,1910
2018-07-31,"78660","TX","Austin","Travis","Pflugerville",22,1627,0.000615006150061501,0.00246457178065311,-0.00973828362751065,21745
2018-07-31,"60618","IL","Chicago","Cook","Chicago",23,1943,-0.00205444273240883,-0.00664621676891616,-0.0423854115327748,13018
2018-07-31,"10029","NY","New York","New York","New York",24,3380,-0.00147710487444609,-0.00324388086110292,-0.023121387283237,1569
2018-07-31,"10011","NY","New York","New York","New York",25,4243,-0.00515826494724502,-0.0221249135745563,-0.0610754591723833,10867
