"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-07-31,"10025","NY","New York","New York","New York",0,3562,-0.00112170499158721,-0.005861010326542,-0.0486111111111111,923
2018-07-31,"60657","IL","Chicago","Cook","Chicago",1,3250,0.00806451612903226,0.0146737433655948,-0.0947075208913649,3317
2018-07-31,"10023","NY","New York","New York","New York",2,3711,-0.00642570281124498,-0.0211026114481667,-0.0574041148082296,1398
2018-07-31,"75070","TX","Dallas-Fort Worth","Collin","McKinney",3,1908,-0.00156985871271586,-0.00417536534446764,-0.0200308166409861,27611
2018-07-31,"77494","TX","Houston","Harris","Katy",4,2197,0,0.000455373406193078,0.0129091747349009,31105
2018-07-31,"60614","IL","Chicago","Cook","Chicago",5,5085,-0.00372257053291536,-0.00664192225043954,-0.0875650457563251,4692
2018-07-31,"79936","TX","El Paso","El Paso","El Paso",6,994,0,-0.00100502512562814,-0.00300902708124373,29274
2018-07-31,"77084","TX","Houston","Harris","Houston",7,1449,0,0.00069060773480663,0.00975609756097561,25578
2018-07-31,"10002","NY","New York","New York","New York",8,4164,-0.00215672178289001,-0.00191754554170662,-0.0332017645693058,264
2018-07-31,"10467","NY","New York","Bronx","New York",9,1827,0.0010958904109589,0.00274423710208562,0.0392491467576792,1257
2018-07-31,"60640","IL","Chicago","Cook","Chicago",10,2253,0.00133333333333333,0.00715243629861422,-0.0969939879759519,2055
2018-07-31,"77449","TX","Houston","Harris","Katy",11,1445,0,0.000692520775623269,0.0126138752627891,31637
2018-07-31,"94109","CA","San Francisco","San Francisco","San Francisco",12,5723,-0.00607849947898576,-0.0243777702011592,-0.00486871848374196,762
2018-07-31,"11226","NY","New York","Kings","New York",13,2336,-0.00426257459505541,-0.0238194734642708,-0.0160067396798652,1588
2018-07-31,"10016","NY","New York","New York","New York",14,3865,-0.00154998708344097,-0.00412264880185519,-0.02571212503151,1202
2018-07-31,"11375","NY","New York","Queens","New York",15,2478,-0.00681362725450902,-0.0410216718266254,-0.11877667140825,5358
2018-07-31,"11235","NY","New York","Kings","New York",16,2272,-0.00394563787812363,-0.0194216659473457,-0.0445752733389403,2682
2018-07-31,"37013","TN","Nashville","Davidson","Nashville",17,1499,0,0,0.0225102319236016,19113
2018-07-31,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Hawthorne",18,2826,-0.00457907713983797,0.00248315005321036,0.0513392857142857,9314
2018-07-31,"60647","IL","Chicago","Cook","Chicago",19,1963,-0.00203355363497712,-0.00758341759352882,-0.0521487204249155,5630
2018-07-31,"37211","TN","Nashville","Davidson","Nashville",20,1595,-0.00125234815278647,-0.00684931506849315,-0.0202702702702703,15797
2018-07-31,"10009","NY","New York","New York","New York",21,3949,-0.00554016620498615,-0.0171727227476356,-0.0454435581339135,339
2018-07-31,"78660","TX","Austin","Travis","Pflugerville",22,1632,0,0.00307314074984634,-0.00910746812386157,22429
2018-07-31,"60618","IL","Chicago","Cook","Chicago",23,2092,0.0043206913106097,0.0120948234155781,-0.0430009149130833,8001
2018-07-31,"10029","NY","New York","New York","New York",24,3027,-0.00656383327863472,-0.0232333010648596,-0.0640074211502783,311
2018-07-31,"10011","NY","New York","New York","New York",25,4500,-0.00420447001549015,-0.010989010989011,-0.0443830961987683,1092
2018-07-31,"10128","NY","New York","New York","New York",26,3505,-0.00284495021337127,-0.00680079342589969,-0.00227725590663251,1115
2018-07-31,"77573","TX","Houston","Galveston","League City",27,1960,-0.00203665987780041,-0.00859888720283257,-0.0175438596491228,24836
2018-07-31,"77584","TX","Houston","Brazoria","Pearland",28,1856,-0.0021505376344086,-0.00907634810464495,-0.0185087255420412,22737
2018-07-31,"28269","NC","Charlotte","Mecklenburg","Charlotte",29,1396,0,0.000716845878136201,0.0257163850110213,22882
2018-07-31,"11201","NY","New York","Kings","New York",30,2973,-0.00268366320026837,-0.015888778550149,-0.0798514391829155,1447
2018-07-31,"79912","TX","El Paso","El Paso","El Paso",31,1249,0,0.000801282051282051,-0.0023961661341853,18943
2018-07-31,"78572","TX","McAllen","Hidalgo","Mission",32,1092,0.000916590284142988,0.00831024930747922,0.0167597765363128,19273
2018-07-31,"94565","CA","San Francisco","Contra Costa","Pittsburg",33,2229,-0.000448430493273543,-0.00268456375838926,0.0333796940194715,21004
2018-07-31,"30349","GA","Atlanta","Clayton","Riverdale",34,1182,0.000846740050804403,0.00510204081632653,0.0395778364116095,21812
2018-07-31,"20002","DC","Washington","District of Columbia","Washington",35,2493,-0.00120192307692308,-0.00914149443561208,-0.0759822090437361,1090
2018-07-31,"90046","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",36,5899,0.00169808116827984,0.00152801358234295,-0.00907105661011255,6008
2018-07-31,"78130","TX","San Antonio","Comal","New Braunfels",37,1450,-0.00137741046831956,-0.00616860863605209,-0.0281501340482574,20146
2018-07-31,"78613","TX","Austin","Williamson","Cedar Park",38,1734,0,0.00115473441108545,-0.0142126208072769,22109
2018-07-31,"20009","DC","Washington","District of Columbia","Washington",39,2592,-0.00422589320015367,-0.0159453302961276,-0.0244636808430561,570
2018-07-31,"75052","TX","Dallas-Fort Worth","Dallas","Grand Prairie",40,1598,0,0,0.0237027546444587,23783
2018-07-31,"10462","NY","New York","Bronx","New York",41,1842,0,-0.0016260162601626,0.0359955005624297,1044
2018-07-31,"10456","NY","New York","Bronx","New York",42,1953,0.00102511532547412,0.0113930605903677,0.0393826503459287,619
2018-07-31,"37042","TN","Clarksville","Montgomery","Clarksville",43,946,0,-0.00105596620908131,0.00211864406779661,24945
2018-07-31,"10003","NY","New York","New York","New York",44,4187,-0.00687855787476281,-0.0255992552943914,-0.0449361313868613,895
2018-07-31,"77429","TX","Houston","Harris","Cypress",45,1767,-0.00113058224985868,0,0.0237543453070684,25550
2018-07-31,"11206","NY","New York","Kings","New York",46,2453,-0.00406008932196508,-0.0180144115292234,-0.0481179666278619,383
2018-07-31,"63376","MO","St. Louis","Saint Charles","Saint Peters",47,1499,0,0.00604026845637584,0.0197278911564626,22501
2018-07-31,"60613","IL","Chicago","Cook","Chicago",48,2480,0.000403388463089956,0.00404858299595142,-0.172505839172506,2263
2018-07-31,"77479","TX","Houston","Fort Bend","Sugar Land",49,2334,-0.000856164383561644,-0.00213766566908935,-0.0180900294488851,25516
