,Region,RegionName,StateName,MSAName,CountyName,CityName,ForecastYoYPctChange
1,State,Alaska,AK,NA,NA,NA,-2.663430421
2,State,Alabama,AL,NA,NA,NA,0.380392157
3,State,Arkansas,AR,NA,NA,NA,7.820491803
4,State,Arizona,AZ,NA,NA,NA,3.951672862
5,State,California,CA,NA,NA,NA,8.767811
6,State,Colorado,CO,NA,NA,NA,8.360762943
7,State,Connecticut,CT,NA,NA,NA,4.068965517
8,State,District of Columbia,DC,NA,NA,NA,1.964354697
9,State,Delaware,DE,NA,NA,NA,5.466437177
10,State,Florida,FL,NA,NA,NA,5.890168291
11,State,Georgia,GA,NA,NA,NA,7.519502544
12,State,Hawaii,HI,NA,NA,NA,0.20097166
13,State,Iowa,IA,NA,NA,NA,3.292296616
14,State,Idaho,ID,NA,NA,NA,-3.036942675
15,State,Illinois,IL,NA,NA,NA,5.476
16,State,Indiana,IN,NA,NA,NA,3.072118959
17,State,Kansas,KS,NA,NA,NA,3.367875648
18,State,Kentucky,KY,NA,NA,NA,3.546494993
19,State,Louisiana,LA,NA,NA,NA,0.07760989
20,State,Massachusetts,MA,NA,NA,NA,8.722222222
21,State,Maryland,MD,NA,NA,NA,5.36446951
22,State,Maine,ME,NA,NA,NA,10.14650538
23,State,Michigan,MI,NA,NA,NA,9.569847856
24,State,Minnesota,MN,NA,NA,NA,8.657999119
25,State,Missouri,MO,NA,NA,NA,5.311443433
26,State,Mississippi,MS,NA,NA,NA,3.684509327
27,State,Montana,MT,NA,NA,NA,1.613475177
28,State,North Carolina,NC,NA,NA,NA,1.187285223
29,State,North Dakota,ND,NA,NA,NA,3.842313396
30,State,Nebraska,NE,NA,NA,NA,1.931532663
31,State,New Hampshire,NH,NA,NA,NA,5.645872245
32,State,New Jersey,NJ,NA,NA,NA,7.45357591
33,State,New Mexico,NM,NA,NA,NA,1.124399359
34,State,Nevada,NV,NA,NA,NA,11.86654676
35,State,New York,NY,NA,NA,NA,5.243176179
36,State,Ohio,OH,NA,NA,NA,6.304185351
37,State,Oklahoma,OK,NA,NA,NA,5.437395659
38,State,Oregon,OR,NA,NA,NA,3.917409388
39,State,Pennsylvania,PA,NA,NA,NA,5.110324484
40,State,Rhode Island,RI,NA,NA,NA,7.222343127
41,State,South Carolina,SC,NA,NA,NA,6.44047619
42,State,South Dakota,SD,NA,NA,NA,3.927282668
43,State,Tennessee,TN,NA,NA,NA,5.582183187
44,State,Texas,TX,NA,NA,NA,4.052490627
45,State,Utah,UT,NA,NA,NA,7.384835935
46,State,Virginia,VA,NA,NA,NA,3.428855326
47,State,Vermont,VT,NA,NA,NA,2.218367347
48,State,Washington,WA,NA,NA,NA,6.630074786
49,State,Wisconsin,WI,NA,NA,NA,4.792316258
50,State,West Virginia,WV,NA,NA,NA,2.208201893
51,State,Wyoming,WY,NA,NA,NA,1.631507469
52,County,Ada,ID,Boise City,Ada,NA,-0.229189189
