RegionType,RegionName,City,State,Metro,CBSATitle,SizeRank,MarketHealthIndex,SellForGain,PrevForeclosed,ForeclosureRatio,ZHVI,MoM,YoY,ForecastYoYPctChange,StockOfREOs,NegativeEquity,Delinquency,DaysOnMarket
Zip,1001,Agawam,MA,"Springfield, MA","Springfield, MA",,2.313113168,75,,5.7575,213200,0,8.004052685,0.049432458,,0.069027828,0.068062827,71
Zip,1002,Amherst,MA,"Springfield, MA","Springfield, MA",,3.980240431,92.31,,,331900,-0.300390508,7.654881609,0.023913829,,0.045414847,0.038461538,88
Zip,1005,Barre,MA,"Worcester, MA","Worcester, MA-CT",,1.945557551,50,,73.3217,224600,0.178412132,9.66796875,0.101910062,,0.071680376,0.114754098,68
Zip,1007,Belchertown,MA,"Springfield, MA","Springfield, MA",,3.842752522,100,,,276300,0.290381125,4.50075643,0.059873326,,0.046303211,0.048387097,74
Zip,1008,Blandford,MA,"Springfield, MA","Springfield, MA",,5.027635761,0,,,221000,0.913242009,9.351806037,0.087262443,,0.06010929,0.090909091,71
Zip,1010,Brimfield,MA,"Springfield, MA","Springfield, MA",,1.383169822,100,,9.6012,251800,0.119284294,2.191558442,0.063923749,,0.066777963,0.075,71
Zip,1011,Chester,MA,"Springfield, MA","Springfield, MA",,2.026392151,100,,,150100,0.603217158,-6.421446384,0.143770819,,0.223776224,0.0625,71
Zip,1013,Chicopee,MA,"Springfield, MA","Springfield, MA",,3.748100041,100,,5.6505,177600,-0.05627462,7.376058041,0.068310811,,0.075715605,0.12804878,83
Zip,1020,Chicopee,MA,"Springfield, MA","Springfield, MA",,2.314494956,88.89,,4.2796,187600,0,6.288951841,0.057308102,,0.064257028,0.110294118,73
Zip,1022,Chicopee,MA,"Springfield, MA","Springfield, MA",,7.137626088,,,,120400,1.346801347,5.985915493,0.134036545,,0.105660377,0.142857143,80
Zip,1026,Cummington,MA,"Springfield, MA","Springfield, MA",,3.033024734,,,34.0021,225500,0.490196078,17.0212766,0.058465632,,0.094202899,0.153846154,74
Zip,1027,Easthampton,MA,"Springfield, MA","Springfield, MA",,5.183777808,100,,7.0512,261200,0.268714012,8.246995441,0.048947167,,0.027620397,0.025641026,74
Zip,1028,East Longmeadow,MA,"Springfield, MA","Springfield, MA",,4.060384137,90,,2.4056,259900,0.115562404,9.616195698,0.041319738,,0.050789293,0.067567568,71
Zip,1030,Agawam,MA,"Springfield, MA","Springfield, MA",,3.58781263,100,,,243800,0.287947347,2.136573104,0.063121411,,0.042574257,0.058139535,65
Zip,1033,Granby,MA,"Springfield, MA","Springfield, MA",,2.629542628,100,,,250300,0.079968013,4.771871076,0.046236516,,0.036596523,0.125,74
Zip,1034,Tolland,MA,"Springfield, MA","Springfield, MA",,3.573994749,100,,392.1569,269000,0.148920328,6.915739269,0.062401487,,0.084507042,0,71
Zip,1035,Hadley,MA,"Springfield, MA","Springfield, MA",,6.019759569,100,,,348300,0.461494087,8.84375,0.040490956,,0.030726257,0.045454545,74
Zip,1036,Hampden,MA,"Springfield, MA","Springfield, MA",,3.434434158,100,,,269400,0.335195531,5.896226415,0.051117298,,0.057831325,0.083333333,71
Zip,1038,Hatfield,MA,"Springfield, MA","Springfield, MA",,4.311178665,100,,,310000,-0.064474533,4.236718225,0.033051613,,0.033678756,0,74
Zip,1040,Holyoke,MA,"Springfield, MA","Springfield, MA",,1.621528258,76.47,,3.0549,192800,0.207900208,6.755260244,0.056716805,,0.07234315,0.088495575,66
Zip,1050,Huntington,MA,"Springfield, MA","Springfield, MA",,3.240983833,66.67,,83.9743,210500,0.621414914,10.84781464,0.061605701,,0.041791045,0.142857143,74
Zip,1053,Northampton,MA,"Springfield, MA","Springfield, MA",,9.479756805,100,,,269800,1.657874906,7.14853058,0.087020015,,0.02892562,0,69
Zip,1054,Leverett,MA,"Greenfield Town, MA","Greenfield Town, MA",,6.33135277,100,,,326600,0.030627871,1.554726368,0.099905083,,0.03649635,0,87
Zip,1056,Ludlow,MA,"Springfield, MA","Springfield, MA",,3.377089954,100,,,216800,0.184842884,1.784037559,0.07054428,,0.058842759,0.061111111,73
Zip,1060,Northampton,MA,"Springfield, MA","Springfield, MA",,7.613652066,100,,,298300,1.050135501,5.035211268,0.041944351,,0.051928783,0,69
Zip,1062,Northampton,MA,"Springfield, MA","Springfield, MA",,7.188061351,75,,,288900,1.120056003,7.278128481,0.04704396,,0.032590983,0.016666667,69
Zip,1068,Oakham,MA,"Worcester, MA","Worcester, MA-CT",,5.435263231,50,,,280000,1.412531691,10.89108911,0.090775,,0.079027356,0.115384615,68
Zip,1069,Palmer,MA,"Springfield, MA","Springfield, MA",,0.761365207,100,,11.7001,,,,,,0.081384471,0.057471264,71
Zip,1071,Russell,MA,"Springfield, MA","Springfield, MA",,3.236838469,,,,218700,0.36714089,6.943765281,0.057727481,,0.074380165,0.111111111,71
Zip,1072,Shutesbury,MA,"Greenfield Town, MA","Greenfield Town, MA",,3.497996407,100,,,248300,0.040290089,2.560925238,0.128747483,,0.041825095,0.272727273,87
Zip,1073,Southampton,MA,"Springfield, MA","Springfield, MA",,2.633687992,50,,6.4102,301200,0.567612688,6.657223796,0.037576361,,0.03955288,0.043478261,74
Zip,1075,South Hadley,MA,"Springfield, MA","Springfield, MA",,5.537515545,100,,1.8218,238700,0.25199496,8.648156577,0.048202765,,0.052496329,0.020979021,64.5
Zip,1077,Southwick,MA,"Springfield, MA","Springfield, MA",,2.367002902,100,,4.8355,249200,-0.16025641,6.678082192,0.049967897,,0.059010152,0.053763441,71
Zip,1080,Palmer,MA,"Springfield, MA","Springfield, MA",,0.348210584,100,,43.9561,,,,,,0.082969432,0.157894737,71
Zip,1081,Wales,MA,"Springfield, MA","Springfield, MA",,8.666574547,,,,206700,0.632911392,9.480932203,0.063043058,,0.066964286,0,71
