RegionName,City,State,Metro,CountyName,SizeRank,MedianPrice
10025,New York,NY,New York,New York,1,1395000
60657,Chicago,IL,Chicago,Cook,2,465000
75070,McKinney,TX,Dallas-Fort Worth,Collin,3,362000
77494,Katy,TX,Houston,Harris,4,360995
60614,Chicago,IL,Chicago,Cook,5,650000
79936,El Paso,TX,El Paso,El Paso,6,145000
77084,Houston,TX,Houston,Harris,7,189900
10002,New York,NY,New York,New York,8,1550000
60640,Chicago,IL,Chicago,Cook,9,285000
926,San Juan,NC,Durham,Chatham,10,154950
77449,Katy,TX,Houston,Harris,11,199239
94109,San Francisco,CA,San Francisco,San Francisco,12,1099000
11226,New York,NY,New York,Kings,13,680000
10016,New York,NY,New York,New York,14,1430000
32162,The Villages,FL,The Villages,Sumter,15,245000
11375,New York,NY,New York,Queens,16,519000
11235,New York,NY,New York,Kings,17,599000
37013,Nashville,TN,Nashville,Davidson,18,229995.5
90250,Hawthorne,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,19,682250
60647,Chicago,IL,Chicago,Cook,20,479000
37211,Nashville,TN,Nashville,Davidson,21,289000
10009,New York,NY,New York,New York,22,1597000
78660,Pflugerville,TX,Austin,Travis,23,278000
60618,Chicago,IL,Chicago,Cook,24,494500
10029,New York,NY,New York,New York,25,949750
77573,League City,TX,Houston,Galveston,26,318990
77584,Pearland,TX,Houston,Brazoria,27,298950
28269,Charlotte,NC,Charlotte,Mecklenburg,28,215495
79912,El Paso,TX,El Paso,El Paso,29,239444
78572,Mission,TX,McAllen,Hidalgo,30,199950
94565,Pittsburg,CA,San Francisco,Contra Costa,31,444944
30349,Riverdale,GA,Atlanta,Clayton,32,185000
20002,Washington,DC,Washington,District of Columbia,33,639500
90046,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,34,1799000
78130,New Braunfels,TX,San Antonio,Comal,35,250000
78613,Cedar Park,TX,Austin,Williamson,36,330000
20009,Washington,DC,Washington,District of Columbia,37,584900
75052,Grand Prairie,TX,Dallas-Fort Worth,Dallas,38,234950
10462,New York,NY,New York,Bronx,39,169499.5
37042,Clarksville,TN,Clarksville,Montgomery,40,174950
77429,Cypress,TX,Houston,Harris,41,311613
63376,Saint Peters,MO,St. Louis,Saint Charles,42,215000
