RegionName,City,State,Metro,CountyName,SizeRank,MedianPricePerSqft
10023,New York,NY,New York,New York,1,1599.538839
75070,McKinney,TX,Dallas-Fort Worth,Collin,2,140.3649635
77494,Katy,TX,Houston,Harris,3,119.4992739
60614,Chicago,IL,Chicago,Cook,4,454.9431321
79936,El Paso,TX,El Paso,El Paso,5,90.7261247
77084,Houston,TX,Houston,Harris,6,93.20899091
10002,New York,NY,New York,New York,7,1995.884774
926,San Juan,NC,Durham,Chatham,8,102.5430172
77449,Katy,TX,Houston,Harris,9,96.09120521
94109,San Francisco,CA,San Francisco,San Francisco,10,1161.492436
10016,New York,NY,New York,New York,11,1446.490095
32162,The Villages,FL,The Villages,Sumter,12,172.6342711
11235,New York,NY,New York,Kings,13,577.4775703
37013,Nashville,TN,Nashville,Davidson,14,131.2245457
90250,Hawthorne,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,15,517.7342482
60647,Chicago,IL,Chicago,Cook,16,322.6495726
37211,Nashville,TN,Nashville,Davidson,17,168.981251
10009,New York,NY,New York,New York,18,1784.67113
78660,Pflugerville,TX,Austin,Travis,19,126.9459557
60618,Chicago,IL,Chicago,Cook,20,313.3962577
10029,New York,NY,New York,New York,21,1251.968504
77573,League City,TX,Houston,Galveston,22,118.4948202
77584,Pearland,TX,Houston,Brazoria,23,109.9835436
28269,Charlotte,NC,Charlotte,Mecklenburg,24,111.0713006
11201,New York,NY,New York,Kings,25,1285.40305
79912,El Paso,TX,El Paso,El Paso,26,106.1643836
78572,Mission,TX,McAllen,Hidalgo,27,87.02818378
94565,Pittsburg,CA,San Francisco,Contra Costa,28,283.7055418
30349,Riverdale,GA,Atlanta,Clayton,29,85.49107143
20002,Washington,DC,Washington,District of Columbia,30,534.236374
90046,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,31,856.4182599
78130,New Braunfels,TX,San Antonio,Comal,32,131.8944844
78613,Cedar Park,TX,Austin,Williamson,33,140.4624127
20009,Washington,DC,Washington,District of Columbia,34,664.5586316
75052,Grand Prairie,TX,Dallas-Fort Worth,Dallas,35,108.2316233
10462,New York,NY,New York,Bronx,36,226.3636364
37042,Clarksville,TN,Clarksville,Montgomery,37,104.2954274
77429,Cypress,TX,Houston,Harris,38,108.4550686
63376,Saint Peters,MO,St. Louis,Saint Charles,39,138.4976526
77479,Sugar Land,TX,Houston,Fort Bend,40,135.0869558
30044,Lawrenceville,GA,Atlanta,Gwinnett,41,103.9143441
73099,Yukon,OK,Oklahoma City,Canadian,42,116.9354839
77036,Houston,TX,Houston,Harris,43,96.55808806
77433,Cypress,TX,Houston,Harris,44,114.7540984
60629,Chicago,IL,Chicago,Cook,45,159.8232458
60625,Chicago,IL,Chicago,Cook,46,264.5902631
30043,Lawrenceville,GA,Atlanta,Gwinnett,47,107.8435563
75034,Frisco,TX,Dallas-Fort Worth,Collin,48,169.5255734
75287,Dallas,TX,Dallas-Fort Worth,Dallas,49,163.2183908
28277,Charlotte,NC,Charlotte,Mecklenburg,50,150.2363268
85032,Phoenix,AZ,Phoenix,Maricopa,51,177.4150617
7030,Hoboken,NJ,New York,Hudson,52,747.815231
11214,New York,NY,New York,Kings,53,561.9369369
21234,Parkville,MD,Baltimore,Baltimore,54,162.4640075
33160,Sunny Isles Beach,FL,Miami-Fort Lauderdale,Miami-Dade,55,413.5338346
78521,Brownsville,TX,Brownsville,Cameron,56,80.44853364
23464,Virginia Beach,VA,Virginia Beach,Virginia Beach City,57,144.9275362
77077,Houston,TX,Houston,Harris,58,149.5312088
94501,Alameda,CA,San Francisco,Alameda,59,566.0974067
30096,Duluth,GA,Atlanta,Gwinnett,60,124.5233007
78704,Austin,TX,Austin,Travis,61,399.6499417
98052,Redmond,WA,Seattle,King,62,418.5545224
77379,Tomball,TX,Houston,Harris,63,104.0835124
75243,Dallas,TX,Dallas-Fort Worth,Dallas,64,127.3627631
78245,San Antonio,TX,San Antonio,Bexar,65,108.7489976
11229,New York,NY,New York,Kings,66,606.4396156
8701,Lakewood,NJ,New York,Ocean,67,158.796261
60619,Chicago,IL,Chicago,Cook,68,94.91525424
90034,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,69,816.9112509
94110,San Francisco,CA,San Francisco,San Francisco,70,1010.410197
78666,San Marcos,TX,Austin,Hays,71,140.1358764
30024,Suwanee,GA,Atlanta,Gwinnett,72,140.704946
60610,Chicago,IL,Chicago,Cook,73,375.5485893
10019,New York,NY,New York,New York,74,1725.894899
44107,Lakewood,OH,Cleveland,Cuyahoga,75,129.8017772
75067,Lewisville,TX,Dallas-Fort Worth,Denton,76,146.8273547
33025,Miramar,FL,Miami-Fort Lauderdale,Broward,77,172.889115
33411,Royal Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,78,157.4279379
33139,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,79,536.2703803
90044,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,80,367.3178936
48197,Ypsilanti,MI,Ann Arbor,Washtenaw,81,132.0908049
2169,Quincy,MA,Boston,Norfolk,82,347.1014493
23462,Virginia Beach,VA,Virginia Beach,Virginia Beach City,83,134.9976224
90805,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,84,413.2791328
66062,Olathe,KS,Kansas City,Johnson,85,148.2532751
44035,Elyria,OH,Cleveland,Lorain,86,77.08766073
95630,Folsom,CA,Sacramento,Sacramento,87,261.1987022
90650,Norwalk,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,88,405.6807935
11234,New York,NY,New York,Kings,89,495.8792711
92683,Westminster,CA,Los Angeles-Long Beach-Anaheim,Orange,90,424.3400121
85710,Tucson,AZ,Tucson,Pima,91,113.7841352
19143,Philadelphia,PA,Philadelphia,Philadelphia,92,83.33333333
78745,Austin,TX,Austin,Travis,93,223.8265892
11355,New York,NY,New York,Queens,94,764.2928124
10314,New York,NY,New York,Richmond,95,391.7825537
60617,Chicago,IL,Chicago,Cook,96,94.24528302
30281,Stockbridge,GA,Atlanta,Henry,97,89.44543828
32210,Jacksonville,FL,Jacksonville,Duval,98,105.4421769
37075,Hendersonville,TN,Nashville,Sumner,99,172.3697651
94558,Napa,CA,Napa,Napa,100,438.3401104
11215,New York,NY,New York,Kings,101,1106.039326
90026,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,102,684.9156289
85225,Chandler,AZ,Phoenix,Maricopa,103,166.3517363
91910,Chula Vista,CA,San Diego,San Diego,104,302.4003488
87111,Albuquerque,NM,Albuquerque,Bernalillo,105,162.2683885
28027,Concord,NC,Charlotte,Cabarrus,106,123.6351346
6010,Bristol,CT,Hartford,Hartford,107,132.1485115
78240,San Antonio,TX,San Antonio,Bexar,108,114.8899099
87114,Albuquerque,NM,Albuquerque,Bernalillo,109,165.9822998
89108,Las Vegas,NV,Las Vegas,Clark,110,153.5560345
85308,Glendale,AZ,Phoenix,Maricopa,111,156.1081548
11211,New York,NY,New York,Kings,112,1201.570681
17603,Lancaster,PA,Lancaster,Lancaster,113,192.9461217
93722,Fresno,CA,Fresno,Fresno,114,158.1540204
80134,Parker,CO,Denver,Douglas,115,220.8275221
48180,Taylor,MI,Detroit,Wayne,116,89.79813218
725,Caguas,TX,Brownsville,Cameron,117,82.68859094
85281,Tempe,AZ,Phoenix,Maricopa,118,208.5958275
78577,Pharr,TX,McAllen,Hidalgo,119,78.09430255
94533,Fairfield,CA,Vallejo,Solano,120,245.4153182
15601,Greensburg,PA,Pittsburgh,Westmoreland,121,117.7536232
95608,Carmichael,CA,Sacramento,Sacramento,122,242.5502426
43055,Newark,OH,Columbus,Licking,123,100.8748318
43081,Westerville,OH,Columbus,Franklin,124,133.4923664
44060,Mentor,OH,Cleveland,Lake,125,105.5369693
80013,Aurora,CO,Denver,Arapahoe,126,234.6938776
33024,Pembroke Pines,FL,Miami-Fort Lauderdale,Broward,127,191.2156533
20906,Silver Spring,MD,Washington,Montgomery,128,214.1571206
33009,Hallandale,FL,Miami-Fort Lauderdale,Broward,129,228.8887827
90066,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,130,947.9665072
43123,Grove City,OH,Columbus,Franklin,131,124.5338409
97229,Portland,OR,Portland,Multnomah,132,242.2641509
76028,Burleson,TX,Dallas-Fort Worth,Johnson,133,117.7563349
91709,Chino Hills,CA,Riverside,San Bernardino,134,342.557377
11385,New York,NY,New York,Queens,135,573.964497
85364,Yuma,AZ,Yuma,Yuma,136,112.8216704
14850,Ithaca,NY,Ithaca,Tompkins,137,172.962963
65807,Springfield,MO,Springfield,Greene,138,92.03480589
98012,Bothell,WA,Seattle,Snohomish,139,292.3981865
77459,Missouri City,TX,Houston,Fort Bend,140,117.3828491
92677,Laguna Niguel,CA,Los Angeles-Long Beach-Anaheim,Orange,141,450.4742146
95823,Sacramento,CA,Sacramento,Sacramento,142,198.2468872
33908,Fort Myers,FL,Fort Myers,Lee,143,165.771616
44256,Medina,OH,Cleveland,Medina,144,123.9684647
2148,Malden,MA,Boston,Middlesex,145,338.0886773
60620,Chicago,IL,Chicago,Cook,146,96.20264743
27410,Greensboro,NC,,Guilford,147,115.2480267
45011,Hamilton,OH,Cincinnati,Butler,148,118.8340807
76063,Mansfield,TX,Dallas-Fort Worth,Tarrant,149,121.0901318
33647,Tampa,FL,Tampa,Hillsborough,150,128.6850725
92804,Anaheim,CA,Los Angeles-Long Beach-Anaheim,Orange,151,372.3583999
11238,New York,NY,New York,Kings,152,1069.518717
60634,Chicago,IL,Chicago,Cook,153,239.0811831
8753,Toms River,NJ,New York,Ocean,154,176.347871
6902,Stamford,CT,Stamford,Fairfield,155,283.6174242
65203,Columbia,MO,Columbia,Boone,156,120.0678085
47906,West Lafayette,IN,Lafayette-West Lafayette,Tippecanoe,157,106.0138782
98103,Seattle,WA,Seattle,King,158,603.4572078
92345,Hesperia,CA,Riverside,San Bernardino,159,164.3971446
75228,Dallas,TX,Dallas-Fort Worth,Dallas,160,161.7946346
92126,San Diego,CA,San Diego,San Diego,161,412.9170472
90019,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,162,610.4651163
43130,Lancaster,OH,Columbus,Fairfield,163,108.8362431
27406,Greensboro,NC,,Guilford,164,88.08668614
60016,Des Plaines,IL,Chicago,Cook,165,171.9906048
46307,Crown Point,IN,Chicago,Lake,166,128.6517483
76244,Fort Worth,TX,Dallas-Fort Worth,Tarrant,167,114.1497462
28314,Fayetteville,NC,Fayetteville,Cumberland,168,79.80394355
27610,Raleigh,NC,Raleigh,Wake,169,115.0735294
89121,Las Vegas,NV,Las Vegas,Clark,170,135.5585831
75056,The Colony,TX,Dallas-Fort Worth,Denton,171,154.5877013
30040,Cumming,GA,Atlanta,Forsyth,172,131.96
30188,Woodstock,GA,Atlanta,Cherokee,173,139.453903
79938,El Paso,TX,El Paso,El Paso,174,98.51694915
92336,Fontana,CA,Riverside,San Bernardino,175,214.9296414
99301,Pasco,WA,Kennewick,Franklin,176,156.5856777
20011,Washington,DC,Washington,District of Columbia,177,468.4936059
77095,Houston,TX,Houston,Harris,178,97.60319574
91911,Chula Vista,CA,San Diego,San Diego,179,314.5069112
77845,College Station,TX,College Station,Brazos,180,141.7373255
92503,Riverside,CA,Riverside,Riverside,181,238.4031792
94536,Fremont,CA,San Francisco,Alameda,182,653.754845
7002,Bayonne,NJ,New York,Hudson,183,236.6624535
27587,Wake Forest,NC,Raleigh,Wake,184,136.6019642
21740,Hagerstown,MD,Hagerstown,Washington,185,117.8451178
11233,New York,NY,New York,Kings,186,593.0087391
7302,Jersey City,NJ,New York,Hudson,187,812.6195029
90280,South Gate,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,188,372.3751592
22191,Woodbridge,VA,Washington,Prince William,189,197.5270479
19111,Philadelphia,PA,Philadelphia,Philadelphia,190,139.7727273
89117,Las Vegas,NV,Las Vegas,Clark,190,172.1927052
87120,Albuquerque,NM,Albuquerque,Bernalillo,192,144.7774596
43230,Gahanna,OH,Columbus,Franklin,193,137.7564103
40475,Richmond,KY,Richmond,Madison,194,115.6987296
