RegionName,City,State,Metro,CountyName,SizeRank,MedianPricePerSqft_Bottom
79936,El Paso,TX,El Paso,El Paso,1,78.46364629
77449,Katy,TX,Houston,Harris,2,97.98775153
32162,The Villages,FL,The Villages,Sumter,3,164.2733564
37013,Nashville,TN,Nashville,Davidson,4,123.218602
78660,Pflugerville,TX,Austin,Travis,5,136.4376258
28269,Charlotte,NC,Charlotte,Mecklenburg,6,105.4298469
94565,Pittsburg,CA,San Francisco,Contra Costa,7,279.2499688
30349,Riverdale,GA,Atlanta,Clayton,8,74.86263736
78613,Cedar Park,TX,Austin,Williamson,9,139.9798618
75052,Grand Prairie,TX,Dallas-Fort Worth,Dallas,10,101.7533937
10462,New York,NY,New York,Bronx,11,197.6744186
37042,Clarksville,TN,Clarksville,Montgomery,12,80.52830515
63376,Saint Peters,MO,St. Louis,Saint Charles,13,96.47662043
30044,Lawrenceville,GA,Atlanta,Gwinnett,14,91.00570342
77036,Houston,TX,Houston,Harris,15,64.74820144
60629,Chicago,IL,Chicago,Cook,16,110.8557845
85032,Phoenix,AZ,Phoenix,Maricopa,17,137.343037
21234,Parkville,MD,Baltimore,Baltimore,18,135.0556439
33160,Sunny Isles Beach,FL,Miami-Fort Lauderdale,Miami-Dade,19,198.7341772
23464,Virginia Beach,VA,Virginia Beach,Virginia Beach City,20,115.8173395
30096,Duluth,GA,Atlanta,Gwinnett,21,96.87034277
78704,Austin,TX,Austin,Travis,22,330.7692308
75243,Dallas,TX,Dallas-Fort Worth,Dallas,23,105.8823529
78245,San Antonio,TX,San Antonio,Bexar,24,87.71998676
8701,Lakewood,NJ,New York,Ocean,25,136.3976705
60619,Chicago,IL,Chicago,Cook,26,72.22757956
78666,San Marcos,TX,Austin,Hays,27,138.3831027
44107,Lakewood,OH,Cleveland,Cuyahoga,28,67.96973518
33025,Miramar,FL,Miami-Fort Lauderdale,Broward,29,118.4652841
33411,Royal Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,30,121.2243441
33139,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,31,380.8510638
90044,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,32,337.7606019
48197,Ypsilanti,MI,Ann Arbor,Washtenaw,33,124.7390873
2169,Quincy,MA,Boston,Norfolk,34,348.5254692
23462,Virginia Beach,VA,Virginia Beach,Virginia Beach City,35,109.0364071
90805,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,36,399.8601076
44035,Elyria,OH,Cleveland,Lorain,37,56.10795455
90650,Norwalk,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,38,411.8286976
85710,Tucson,AZ,Tucson,Pima,39,104.1909197
19143,Philadelphia,PA,Philadelphia,Philadelphia,40,63.33333333
60617,Chicago,IL,Chicago,Cook,41,80.44638243
30281,Stockbridge,GA,Atlanta,Henry,42,80.38057743
32210,Jacksonville,FL,Jacksonville,Duval,43,93.61252472
94558,Napa,CA,Napa,Napa,44,387.0187453
85225,Chandler,AZ,Phoenix,Maricopa,45,145.7768492
