RegionName,City,State,Metro,CountyName,SizeRank,MedianPricePerSqft_Top
60657,Chicago,IL,Chicago,Cook,1,370.3571429
10023,New York,NY,New York,New York,2,1708.046623
75070,McKinney,TX,Dallas-Fort Worth,Collin,3,141.0888703
77494,Katy,TX,Houston,Harris,4,120.8315288
60614,Chicago,IL,Chicago,Cook,5,471.0113826
79936,El Paso,TX,El Paso,El Paso,6,94.64305633
10002,New York,NY,New York,New York,7,2004.860267
10467,New York,NY,New York,Bronx,8,301.3259759
60640,Chicago,IL,Chicago,Cook,9,292.7652479
94109,San Francisco,CA,San Francisco,San Francisco,10,1222.359264
10016,New York,NY,New York,New York,11,1496.357656
32162,The Villages,FL,The Villages,Sumter,12,183.4556748
11375,New York,NY,New York,Queens,13,769.2307692
11235,New York,NY,New York,Kings,14,610.6282533
60647,Chicago,IL,Chicago,Cook,15,333.6810027
37211,Nashville,TN,Nashville,Davidson,16,177.388535
10009,New York,NY,New York,New York,17,1838.358459
78660,Pflugerville,TX,Austin,Travis,18,123.6257117
60618,Chicago,IL,Chicago,Cook,19,327.3604411
10029,New York,NY,New York,New York,20,1242.203742
10011,New York,NY,New York,New York,21,1795.988949
77573,League City,TX,Houston,Galveston,22,119.0667739
77584,Pearland,TX,Houston,Brazoria,23,109.8393132
28269,Charlotte,NC,Charlotte,Mecklenburg,24,112.3872311
11201,New York,NY,New York,Kings,25,1361.695386
79912,El Paso,TX,El Paso,El Paso,26,108.8756621
30349,Riverdale,GA,Atlanta,Clayton,27,99.43794507
20002,Washington,DC,Washington,District of Columbia,28,554.2658091
90046,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,29,877.0454972
78130,New Braunfels,TX,San Antonio,Comal,30,136.4422202
78613,Cedar Park,TX,Austin,Williamson,31,144.8098974
20009,Washington,DC,Washington,District of Columbia,32,683.0102623
75052,Grand Prairie,TX,Dallas-Fort Worth,Dallas,33,98.89438464
10462,New York,NY,New York,Bronx,34,340
37042,Clarksville,TN,Clarksville,Montgomery,35,105.9759036
10003,New York,NY,New York,New York,36,1824.542519
77429,Cypress,TX,Houston,Harris,37,117.1898281
11206,New York,NY,New York,Kings,38,791.2844037
63376,Saint Peters,MO,St. Louis,Saint Charles,39,144.2307692
60613,Chicago,IL,Chicago,Cook,40,328.1580805
77479,Sugar Land,TX,Houston,Fort Bend,41,139.0698719
30044,Lawrenceville,GA,Atlanta,Gwinnett,42,119.7026334
73099,Yukon,OK,Oklahoma City,Canadian,43,122.0595745
77433,Cypress,TX,Houston,Harris,44,120.339054
10463,New York,NY,New York,Bronx,45,520
11230,New York,NY,New York,Kings,46,664.9709302
11209,New York,NY,New York,Kings,47,683.514106
60625,Chicago,IL,Chicago,Cook,48,309.5
30043,Lawrenceville,GA,Atlanta,Gwinnett,49,112.0559881
75034,Frisco,TX,Dallas-Fort Worth,Collin,50,171.042618
11212,New York,NY,New York,Kings,51,313.5338521
75287,Dallas,TX,Dallas-Fort Worth,Dallas,52,164.6797386
28277,Charlotte,NC,Charlotte,Mecklenburg,53,152.2104608
85032,Phoenix,AZ,Phoenix,Maricopa,54,189.8678414
7030,Hoboken,NJ,New York,Hudson,55,765.5555556
11214,New York,NY,New York,Kings,56,598.1102362
33160,Sunny Isles Beach,FL,Miami-Fort Lauderdale,Miami-Dade,57,589.713514
78521,Brownsville,TX,Brownsville,Cameron,58,93.78193623
23464,Virginia Beach,VA,Virginia Beach,Virginia Beach City,59,150.2941473
77077,Houston,TX,Houston,Harris,60,156.9105222
30096,Duluth,GA,Atlanta,Gwinnett,61,149.941566
78704,Austin,TX,Austin,Travis,62,418.1937173
98052,Redmond,WA,Seattle,King,63,419.9043336
77379,Tomball,TX,Houston,Harris,64,110.6352605
75243,Dallas,TX,Dallas-Fort Worth,Dallas,65,149.8127341
11221,New York,NY,New York,Kings,66,633.1678922
78245,San Antonio,TX,San Antonio,Bexar,67,120.8964408
11229,New York,NY,New York,Kings,68,612.0049505
8701,Lakewood,NJ,New York,Ocean,69,241.684564
11207,New York,NY,New York,Kings,70,404.7870468
90034,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,71,788.1823292
94110,San Francisco,CA,San Francisco,San Francisco,72,940.9647375
78666,San Marcos,TX,Austin,Hays,73,182.2500713
30024,Suwanee,GA,Atlanta,Gwinnett,74,146.8326504
60610,Chicago,IL,Chicago,Cook,75,409.4890618
10019,New York,NY,New York,New York,76,1763.109066
44107,Lakewood,OH,Cleveland,Cuyahoga,77,161.5718869
75067,Lewisville,TX,Dallas-Fort Worth,Denton,78,147.7272727
33025,Miramar,FL,Miami-Fort Lauderdale,Broward,79,199.7112608
33411,Royal Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,80,166.1106291
33139,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,81,798.6466366
11377,New York,NY,New York,Queens,82,623.4365799
23462,Virginia Beach,VA,Virginia Beach,Virginia Beach City,83,147.5074277
66062,Olathe,KS,Kansas City,Johnson,84,144.3715635
95630,Folsom,CA,Sacramento,Sacramento,85,253.7324425
11234,New York,NY,New York,Kings,86,508.302823
78745,Austin,TX,Austin,Travis,87,255.9300874
11355,New York,NY,New York,Queens,88,780.2197802
10314,New York,NY,New York,Richmond,89,392.5
30281,Stockbridge,GA,Atlanta,Henry,90,100.0660502
32210,Jacksonville,FL,Jacksonville,Duval,91,186.5150978
37075,Hendersonville,TN,Nashville,Sumner,92,181.3757619
94558,Napa,CA,Napa,Napa,93,692.8871258
11215,New York,NY,New York,Kings,94,1088.530255
90026,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,95,627.7457627
85225,Chandler,AZ,Phoenix,Maricopa,96,159.4594287
87111,Albuquerque,NM,Albuquerque,Bernalillo,97,201.1521843
28027,Concord,NC,Charlotte,Cabarrus,98,125.6006857
6010,Bristol,CT,Hartford,Hartford,99,142.198309
78240,San Antonio,TX,San Antonio,Bexar,100,128.6298664
87114,Albuquerque,NM,Albuquerque,Bernalillo,101,210.1631117
89108,Las Vegas,NV,Las Vegas,Clark,102,158.413518
85308,Glendale,AZ,Phoenix,Maricopa,103,159.3330245
11211,New York,NY,New York,Kings,104,1192.705779
17603,Lancaster,PA,Lancaster,Lancaster,105,245.1861905
93722,Fresno,CA,Fresno,Fresno,106,158.7543879
80134,Parker,CO,Denver,Douglas,107,215.98461
85281,Tempe,AZ,Phoenix,Maricopa,108,261.4465826
94533,Fairfield,CA,Vallejo,Solano,109,223.9637925
15601,Greensburg,PA,Pittsburgh,Westmoreland,110,140.2955652
95608,Carmichael,CA,Sacramento,Sacramento,111,279.0178571
43055,Newark,OH,Columbus,Licking,112,121.051418
43081,Westerville,OH,Columbus,Franklin,113,141.7535854
44060,Mentor,OH,Cleveland,Lake,114,123.7871925
33024,Pembroke Pines,FL,Miami-Fort Lauderdale,Broward,115,200.756193
33009,Hallandale,FL,Miami-Fort Lauderdale,Broward,116,417.2178988
90066,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,117,945.803814
43123,Grove City,OH,Columbus,Franklin,118,132.9414583
97229,Portland,OR,Portland,Multnomah,119,237.6696263
76028,Burleson,TX,Dallas-Fort Worth,Johnson,120,140.0088193
91709,Chino Hills,CA,Riverside,San Bernardino,121,340.0180467
11385,New York,NY,New York,Queens,122,495.588685
85364,Yuma,AZ,Yuma,Yuma,123,121.4233201
11373,New York,NY,New York,Queens,124,656.4075736
14850,Ithaca,NY,Ithaca,Tompkins,124,174.4105939
65807,Springfield,MO,Springfield,Greene,126,103.36091
98012,Bothell,WA,Seattle,Snohomish,127,290.3222581
77459,Missouri City,TX,Houston,Fort Bend,128,124.4160584
92677,Laguna Niguel,CA,Los Angeles-Long Beach-Anaheim,Orange,129,466.535804
33908,Fort Myers,FL,Fort Myers,Lee,130,217.359932
44256,Medina,OH,Cleveland,Medina,131,130.6184669
27410,Greensboro,NC,,Guilford,132,121.2250106
45011,Hamilton,OH,Cincinnati,Butler,133,129.96
76063,Mansfield,TX,Dallas-Fort Worth,Tarrant,134,123.0274305
33647,Tampa,FL,Tampa,Hillsborough,135,134.2622341
11238,New York,NY,New York,Kings,136,1030.276308
60634,Chicago,IL,Chicago,Cook,137,265.0862069
8753,Toms River,NJ,New York,Ocean,138,266.3219134
