RegionID,RegionName,StateName,SizeRank,Price
84654,60657,IL,1,405200
90668,75070,TX,2,320500
91982,77494,TX,3,
93144,79936,TX,4,133200
61616,10002,NY,5,775400
91940,77449,TX,6,179100
61630,10016,NY,7,805200
74101,37013,TN,8,220900
96107,90250,CA,9,677300
74242,37211,TN,10,255800
92593,78660,TX,11,244400
84620,60618,IL,12,375500
92036,77573,TX,13,262300
92045,77584,TX,14,248300
69816,28269,NC,15,
93123,79912,TX,16,200500
97771,94565,CA,17,
66126,20002,DC,18,582600
92271,78130,TX,19,225700
92551,78613,TX,20,293100
66133,20009,DC,21,559700
90654,75052,TX,22,207300
91922,77429,TX,23,235600
86026,63376,MO,24,1.99E+05
91968,77479,TX,25,
70829,30044,GA,26,
89925,73099,OK,27,1.67E+05
91926,77433,TX,28,254900
84630,60629,IL,29,175300
84627,60625,IL,30,286100
70828,30043,GA,31,
90637,75034,TX,32,420700
69823,28277,NC,33,318600
94748,85032,AZ,34,260300
66843,21234,MD,35,
67732,23464,VA,36,238800
97711,94501,CA,37,942500
70874,30096,GA,38,
99534,98052,WA,39,747300
91889,77379,TX,40,237400
92341,78245,TX,41,
61148,8701,NJ,42,
97565,94110,CA,43,
92598,78666,TX,44,210400
70810,30024,GA,45,
77007,44107,OH,46,
90665,75067,TX,47,239300
72363,33025,FL,48,229500
72578,33411,FL,49,
72442,33139,FL,50,311900
96025,90044,CA,51,4.22E+05
58669,2169,MA,52,
67730,23462,VA,53,184500
96239,90805,CA,54,442800
98325,95630,CA,55,514500
96193,90650,CA,56,468900
96990,92683,CA,57,661600
95048,85710,AZ,58,
61790,10314,NY,59,470100
71005,30281,GA,60,
71864,32210,FL,61,131600
74156,37075,TN,62,
84613,60611,IL,63,420900
94820,85225,AZ,64,252100
96545,91910,CA,65,482500
95306,87111,NM,66,
60081,6010,CT,67,
92336,78240,TX,68,184600
95309,87114,NM,69,
95804,89108,NV,70,
94890,85308,AZ,71,277500
65133,17603,PA,72,143100
97431,93722,CA,73,255600
79040,48180,MI,74,
64180,15601,PA,75,152900
98304,95608,CA,76,390900
76511,43081,OH,77,212700
76971,44060,OH,78,1.51E+05
93203,80013,CO,79,338800
72362,33024,FL,80,2.62E+05
66705,20906,MD,81,
