RegionID,RegionName,City,State,Metro,CountyName,SizeRank,PriceToRentRatio
61639,10025,New York,NY,New York,New York,1,25.96
84654,60657,Chicago,IL,Chicago,Cook,2,14.04
61637,10023,New York,NY,New York,New York,3,24.66
90668,75070,McKinney,TX,Dallas-Fort Worth,Collin,4,13.99
91982,77494,Katy,TX,Houston,Harris,5,11.69
84616,60614,Chicago,IL,Chicago,Cook,6,14.76
93144,79936,El Paso,TX,El Paso,El Paso,7,10.02
91733,77084,Houston,TX,Houston,Harris,8,9.85
61616,10002,New York,NY,New York,New York,9,24.28
61807,10467,New York,NY,New York,Bronx,10,19.07
84640,60640,Chicago,IL,Chicago,Cook,11,11.57
91940,77449,Katy,TX,Houston,Harris,12,9.94
97564,94109,San Francisco,CA,San Francisco,San Francisco,13,24.05
62037,11226,New York,NY,New York,Kings,14,25.98
61630,10016,New York,NY,New York,New York,15,23.33
71831,32162,The Villages,FL,The Villages,Sumter,16,9.42
62087,11375,New York,NY,New York,Queens,17,24.94
62045,11235,New York,NY,New York,Kings,18,23.39
74101,37013,Nashville,TN,Nashville,Davidson,19,12.24
96107,90250,Hawthorne,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,20,18.81
84646,60647,Chicago,IL,Chicago,Cook,21,14.5
74242,37211,Nashville,TN,Nashville,Davidson,22,13.4
61623,10009,New York,NY,New York,New York,23,25.66
92593,78660,Pflugerville,TX,Austin,Travis,24,11.95
84620,60618,Chicago,IL,Chicago,Cook,25,14.34
61643,10029,New York,NY,New York,New York,26,26.84
61625,10011,New York,NY,New York,New York,27,25.35
61703,10128,New York,NY,New York,New York,28,25.15
92036,77573,League City,TX,Houston,Galveston,29,10.18
92045,77584,Pearland,TX,Houston,Brazoria,30,10.48
69816,28269,Charlotte,NC,Charlotte,Mecklenburg,31,12.21
93123,79912,El Paso,TX,El Paso,El Paso,32,11.03
92515,78572,Mission,TX,McAllen,Hidalgo,33,8.65
97771,94565,Pittsburg,CA,San Francisco,Contra Costa,34,15.57
71067,30349,Riverdale,GA,Atlanta,Clayton,35,9.6
66126,20002,Washington,DC,Washington,District of Columbia,36,20.46
96027,90046,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,37,21.83
92271,78130,New Braunfels,TX,San Antonio,Comal,38,11.71
92551,78613,Cedar Park,TX,Austin,Williamson,39,13.54
66133,20009,Washington,DC,Washington,District of Columbia,40,17.4
90654,75052,Grand Prairie,TX,Dallas-Fort Worth,Dallas,41,10.98
61802,10462,New York,NY,New York,Bronx,42,9.73
74126,37042,Clarksville,TN,Clarksville,Montgomery,43,12
61617,10003,New York,NY,New York,New York,44,25.09
91922,77429,Cypress,TX,Houston,Harris,45,10.57
62017,11206,New York,NY,New York,Kings,46,23.56
86026,63376,Saint Peters,MO,St. Louis,Saint Charles,47,11.16
84615,60613,Chicago,IL,Chicago,Cook,48,11.45
91968,77479,Sugar Land,TX,Houston,Fort Bend,49,12.71
70829,30044,Lawrenceville,GA,Atlanta,Gwinnett,50,11.8
89925,73099,Yukon,OK,Oklahoma City,Canadian,51,10.95
91926,77433,Cypress,TX,Houston,Harris,52,10.24
61803,10463,New York,NY,New York,Bronx,53,24.18
62040,11230,New York,NY,New York,Kings,54,34.43
84630,60629,Chicago,IL,Chicago,Cook,55,9.76
62020,11209,New York,NY,New York,Kings,56,33
84627,60625,Chicago,IL,Chicago,Cook,57,13.02
70828,30043,Lawrenceville,GA,Atlanta,Gwinnett,58,13.14
90637,75034,Frisco,TX,Dallas-Fort Worth,Collin,59,14.18
62023,11212,New York,NY,New York,Kings,60,17.35
90823,75287,Dallas,TX,Dallas-Fort Worth,Dallas,61,13.56
69823,28277,Charlotte,NC,Charlotte,Mecklenburg,62,15.45
94748,85032,Phoenix,AZ,Phoenix,Maricopa,63,15.37
60545,7030,Hoboken,NJ,New York,Hudson,64,20.61
62025,11214,New York,NY,New York,Kings,65,28.17
66843,21234,Parkville,MD,Baltimore,Baltimore,66,11.19
72463,33160,Sunny Isles Beach,FL,Miami-Fort Lauderdale,Miami-Dade,67,12.42
92481,78521,Brownsville,TX,Brownsville,Cameron,68,7.41
67732,23464,Virginia Beach,VA,Virginia Beach,Virginia Beach City,69,14.09
91726,77077,Houston,TX,Houston,Harris,70,11.42
97711,94501,Alameda,CA,San Francisco,Alameda,71,24.71
70874,30096,Duluth,GA,Atlanta,Gwinnett,72,13.05
92617,78704,Austin,TX,Austin,Travis,73,18.94
99534,98052,Redmond,WA,Seattle,King,74,26.57
91889,77379,Tomball,TX,Houston,Harris,75,10.34
90795,75243,Dallas,TX,Dallas-Fort Worth,Dallas,76,11.41
62032,11221,New York,NY,New York,Kings,77,37.18
92341,78245,San Antonio,TX,San Antonio,Bexar,78,10.59
62039,11229,New York,NY,New York,Kings,79,28.46
61148,8701,Lakewood,NJ,New York,Ocean,80,13.48
84621,60619,Chicago,IL,Chicago,Cook,81,8.67
96015,90034,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,82,24.22
97565,94110,San Francisco,CA,San Francisco,San Francisco,83,29.12
92598,78666,San Marcos,TX,Austin,Hays,84,11.33
70810,30024,Suwanee,GA,Atlanta,Gwinnett,85,14.92
84612,60610,Chicago,IL,Chicago,Cook,86,12.98
61633,10019,New York,NY,New York,New York,87,24.76
77007,44107,Lakewood,OH,Cleveland,Cuyahoga,88,10.53
90665,75067,Lewisville,TX,Dallas-Fort Worth,Denton,89,12.44
72363,33025,Miramar,FL,Miami-Fort Lauderdale,Broward,90,10.94
72578,33411,Royal Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,91,12.33
72442,33139,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,92,13.58
62088,11377,New York,NY,New York,Queens,93,25.82
96025,90044,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,94,15.44
79054,48197,Ypsilanti,MI,Ann Arbor,Washtenaw,95,10.85
58669,2169,Quincy,MA,Boston,Norfolk,96,15.15
67730,23462,Virginia Beach,VA,Virginia Beach,Virginia Beach City,97,12.94
96239,90805,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,98,16.6
87074,66062,Olathe,KS,Kansas City,Johnson,99,11.43
76953,44035,Elyria,OH,Cleveland,Lorain,100,9.74
98325,95630,Folsom,CA,Sacramento,Sacramento,101,19.72
96193,90650,Norwalk,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,102,17.15
62044,11234,New York,NY,New York,Kings,103,23.53
96990,92683,Westminster,CA,Los Angeles-Long Beach-Anaheim,Orange,104,19.58
95048,85710,Tucson,AZ,Tucson,Pima,105,12.94
92654,78745,Austin,TX,Austin,Travis,106,14.93
62067,11355,New York,NY,New York,Queens,107,25.32
61790,10314,New York,NY,New York,Richmond,108,20.15
71005,30281,Stockbridge,GA,Atlanta,Henry,109,10.42
71864,32210,Jacksonville,FL,Jacksonville,Duval,110,11
74156,37075,Hendersonville,TN,Nashville,Sumner,111,13.89
97764,94558,Napa,CA,Napa,Napa,112,18.98
84613,60611,Chicago,IL,Chicago,Cook,113,13.72
62026,11215,New York,NY,New York,Kings,114,35.23
96007,90026,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,115,24.65
94820,85225,Chandler,AZ,Phoenix,Maricopa,116,15.79
96545,91910,Chula Vista,CA,San Diego,San Diego,117,17.75
95306,87111,Albuquerque,NM,Albuquerque,Bernalillo,118,15.32
69672,28027,Concord,NC,Charlotte,Cabarrus,119,13.12
60081,6010,Bristol,CT,Hartford,Hartford,120,10.41
92336,78240,San Antonio,TX,San Antonio,Bexar,121,11.08
95309,87114,Albuquerque,NM,Albuquerque,Bernalillo,122,13.89
95804,89108,Las Vegas,NV,Las Vegas,Clark,123,15.09
94890,85308,Glendale,AZ,Phoenix,Maricopa,124,15.78
62022,11211,New York,NY,New York,Kings,125,28.98
65133,17603,Lancaster,PA,Lancaster,Lancaster,126,11.48
97431,93722,Fresno,CA,Fresno,Fresno,127,15.06
93263,80134,Parker,CO,Denver,Douglas,128,16.07
79040,48180,Taylor,MI,Detroit,Wayne,129,8.84
94870,85281,Tempe,AZ,Phoenix,Maricopa,130,14.6
92520,78577,Pharr,TX,McAllen,Hidalgo,131,8.22
97740,94533,Fairfield,CA,Vallejo,Solano,132,16.49
64180,15601,Greensburg,PA,Pittsburgh,Westmoreland,133,12.95
98304,95608,Carmichael,CA,Sacramento,Sacramento,134,18.24
76511,43081,Westerville,OH,Columbus,Franklin,135,11.85
76971,44060,Mentor,OH,Cleveland,Lake,136,11.05
93203,80013,Aurora,CO,Denver,Arapahoe,137,14.79
72362,33024,Pembroke Pines,FL,Miami-Fort Lauderdale,Broward,138,12.2
66705,20906,Silver Spring,MD,Washington,Montgomery,139,14.5
72347,33009,Hallandale,FL,Miami-Fort Lauderdale,Broward,140,10.71
96047,90066,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,141,24.98
76534,43123,Grove City,OH,Columbus,Franklin,142,11.09
99142,97229,Portland,OR,Portland,Multnomah,143,20.52
91198,76028,Burleson,TX,Dallas-Fort Worth,Johnson,144,11.14
96467,91709,Chino Hills,CA,Riverside,San Bernardino,145,18.18
62093,11385,New York,NY,New York,Queens,146,26.75
94940,85364,Yuma,AZ,Yuma,Yuma,147,12.74
62085,11373,New York,NY,New York,Queens,148,24.16
63776,14850,Ithaca,NY,Ithaca,Tompkins,149,10.99
87019,65807,Springfield,MO,Springfield,Greene,150,12.06
99500,98012,Bothell,WA,Seattle,Snohomish,151,20.96
91950,77459,Missouri City,TX,Houston,Fort Bend,152,11.63
96987,92677,Laguna Niguel,CA,Los Angeles-Long Beach-Anaheim,Orange,153,20.4
98432,95823,Sacramento,CA,Sacramento,Sacramento,154,15.08
72901,33908,Fort Myers,FL,Fort Myers,Lee,155,11.02
77094,44256,Medina,OH,Cleveland,Medina,156,12.29
58660,2148,Malden,MA,Boston,Middlesex,157,16.29
84622,60620,Chicago,IL,Chicago,Cook,158,8.86
61642,10028,New York,NY,New York,New York,159,26.69
69340,27410,Greensboro,NC,,Guilford,160,12.77
77400,45011,Hamilton,OH,Cincinnati,Butler,161,10.98
91221,76063,Mansfield,TX,Dallas-Fort Worth,Tarrant,162,11.79
72737,33647,Tampa,FL,Tampa,Hillsborough,163,13.07
97023,92804,Anaheim,CA,Los Angeles-Long Beach-Anaheim,Orange,164,18.33
62048,11238,New York,NY,New York,Kings,165,29.35
84635,60634,Chicago,IL,Chicago,Cook,166,12.74
61169,8753,Toms River,NJ,New York,Ocean,167,12.25
60499,6902,Stamford,CT,Stamford,Fairfield,168,15.23
86717,65203,Columbia,MO,Columbia,Boone,169,12.8
78823,47906,West Lafayette,IN,Lafayette-West Lafayette,Tippecanoe,170,12.06
99563,98103,Seattle,WA,Seattle,King,171,24.54
96825,92345,Hesperia,CA,Riverside,San Bernardino,172,15.6
90780,75228,Dallas,TX,Dallas-Fort Worth,Dallas,173,10.57
96667,92126,San Diego,CA,San Diego,San Diego,174,19.56
96000,90019,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,175,24.97
76539,43130,Lancaster,OH,Columbus,Fairfield,176,11.13
69336,27406,Greensboro,NC,,Guilford,177,10.4
84285,60016,Des Plaines,IL,Chicago,Cook,178,11.36
78085,46307,Crown Point,IN,Chicago,Lake,179,11.8
91325,76244,Fort Worth,TX,Dallas-Fort Worth,Tarrant,180,12.25
69849,28314,Fayetteville,NC,Fayetteville,Cumberland,181,11.21
69450,27610,Raleigh,NC,Raleigh,Wake,182,11.52
95817,89121,Las Vegas,NV,Las Vegas,Clark,183,14.57
70698,29732,Rock Hill,SC,Charlotte,York,184,11.82
90657,75056,The Colony,TX,Dallas-Fort Worth,Denton,185,13.06
70825,30040,Cumming,GA,Atlanta,Forsyth,186,14
70953,30188,Woodstock,GA,Atlanta,Cherokee,187,13.14
93146,79938,El Paso,TX,El Paso,El Paso,188,10.23
96817,92336,Fontana,CA,Riverside,San Bernardino,189,16.7
100179,99301,Pasco,WA,Kennewick,Franklin,190,13.9
66135,20011,Washington,DC,Washington,District of Columbia,191,18.86
91744,77095,Houston,TX,Houston,Harris,192,10.51
96546,91911,Chula Vista,CA,San Diego,San Diego,193,17.08
92125,77845,College Station,TX,College Station,Brazos,194,10.99
96882,92503,Riverside,CA,Riverside,Riverside,195,16.59
97743,94536,Fremont,CA,San Francisco,Alameda,196,28.86
60518,7002,Bayonne,NJ,New York,Hudson,197,17.21
69431,27587,Wake Forest,NC,Raleigh,Wake,198,14.65
67010,21740,Hagerstown,MD,Hagerstown,Washington,199,12.52
60639,7302,Jersey City,NJ,New York,Hudson,200,22.41
96125,90280,South Gate,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,201,16.18
67180,22191,Woodbridge,VA,Washington,Prince William,202,14.3
65779,19111,Philadelphia,PA,Philadelphia,Philadelphia,203,12.11
95813,89117,Las Vegas,NV,Las Vegas,Clark,204,17.57
95314,87120,Albuquerque,NM,Albuquerque,Bernalillo,205,12.98
76597,43230,Gahanna,OH,Columbus,Franklin,206,11.62
75696,40475,Richmond,KY,Richmond,Madison,207,13.46
78042,46227,Indianapolis,IN,Indianapolis,Marion,208,10.25
62046,11236,New York,NY,New York,Kings,209,18.06
96477,91730,Rancho Cucamonga,CA,Riverside,San Bernardino,210,17.46
67655,23320,Chesapeake,VA,Virginia Beach,Chesapeake City,211,13.09
90226,74012,Broken Arrow,OK,Tulsa,Tulsa,212,10.62
96083,90201,Bell,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,213,17.38
96934,92592,Temecula,CA,Riverside,Riverside,214,17.12
71895,32244,Jacksonville,FL,Jacksonville,Duval,215,11.37
66785,21117,Owings Mills,MD,Baltimore,Baltimore,216,12.01
96651,92109,San Diego,CA,San Diego,San Diego,217,21.66
73221,34787,Winter Garden,FL,Orlando,Orange,218,13.66
91941,77450,Cinco Ranch,TX,Houston,Fort Bend,219,11.13
96643,92101,San Diego,CA,San Diego,San Diego,220,17.73
72247,32822,Orlando,FL,Orlando,Orange,221,10.88
70859,30080,Smyrna,GA,Atlanta,Cobb,222,12.92
60599,7093,West New York,NJ,New York,Hudson,223,13.29
84628,60626,Chicago,IL,Chicago,Cook,224,9.61
95985,90004,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,225,25.77
69699,28078,Huntersville,NC,Charlotte,Mecklenburg,226,14.43
61641,10027,New York,NY,New York,New York,227,27.62
73014,34135,Bonita Springs,FL,Fort Myers,Lee,228,10.95
