RegionID,RegionName,RegionType,SizeRank,ZriForecast,Forecast_YoY_Change,Current_YoY_Change
102001,United States,Country,0,1456,0.011111111,0.004884857
394913,"New York, NY",Msa,1,2402,0.012647555,-0.003779924
753899,"Los Angeles-Long Beach-Anaheim, CA",Msa,2,2802,0.018168605,0.020014826
394463,"Chicago, IL",Msa,3,1626,-0.006112469,-0.008484848
394514,"Dallas-Fort Worth, TX",Msa,4,1612,0.010658307,0.000627353
394974,"Philadelphia, PA",Msa,5,1569,0.001915709,-0.006975269
394692,"Houston, TX",Msa,6,1543,-0.003229974,0.005194805
395209,"Washington, DC",Msa,7,2124,-0.003752345,-0.000937207
394856,"Miami-Fort Lauderdale, FL",Msa,8,1889,0.017232095,0.004326663
394347,"Atlanta, GA",Msa,9,1421,0.019368723,0.026509573
394404,"Boston, MA",Msa,10,2420,0.023255814,-0.004210526
395057,"San Francisco, CA",Msa,11,3388,-0.003236246,0.003839338
394532,"Detroit, MI",Msa,12,1204,0.008375209,0.023136247
395025,"Riverside, CA",Msa,13,1961,0.033192835,0.045730028
394976,"Phoenix, AZ",Msa,14,1381,0.013950073,0.017176998
395078,"Seattle, WA",Msa,15,2209,0.016566958,0.002768805
394865,"Minneapolis-St Paul, MN",Msa,16,1675,0.022588523,0.018023617
395056,"San Diego, CA",Msa,17,2576,0.014173228,0.009538951
395121,"St. Louis, MO",Msa,18,1140,0.000877963,-0.004370629
395148,"Tampa, FL",Msa,19,1421,0.022302158,0.02281089
394358,"Baltimore, MD",Msa,20,1761,0.012068966,0.002304147
394530,"Denver, CO",Msa,21,2133,0.038461538,0.012820513
394982,"Pittsburgh, PA",Msa,22,1080,-0.002770083,-0.003679853
394998,"Portland, OR",Msa,23,1855,0.011450382,-0.007038441
394458,"Charlotte, NC",Msa,24,1322,0.022428461,0.012529366
395045,"Sacramento, CA",Msa,25,1914,0.039087948,0.043626062
395055,"San Antonio, TX",Msa,26,1327,-0.003753754,-0.004484305
394943,"Orlando, FL",Msa,27,1488,0.027624309,0.023321555
394466,"Cincinnati, OH",Msa,28,1325,0.038401254,0.006309148
394475,"Cleveland, OH",Msa,29,1138,-0.001754386,-0.003496503
394735,"Kansas City, MO",Msa,30,1290,0.02056962,-0.01018011
394775,"Las Vegas, NV",Msa,31,1329,0.018390805,0.032436709
394492,"Columbus, OH",Msa,32,1368,0.024719101,0.015209125
394705,"Indianapolis, IN",Msa,33,1190,-0.0041841,0
395059,"San Jose, CA",Msa,34,3490,-0.002572163,0.004593741
394355,"Austin, TX",Msa,35,1679,-0.001189768,-0.014076246
395194,"Virginia Beach, VA",Msa,36,1409,0,0.005710207
394902,"Nashville, TN",Msa,37,1483,-0.004697987,-0.002677376
395005,"Providence, RI",Msa,38,1675,0.004196643,0.032178218
394862,"Milwaukee, WI",Msa,39,1310,-0.006069803,-0.01421092
394714,"Jacksonville, FL",Msa,40,1363,0.017923824,0.02605364
394849,"Memphis, TN",Msa,41,1107,0.011882998,0.044890162
394935,"Oklahoma City, OK",Msa,42,1086,-0.004582951,-0.009082652
394807,"Louisville-Jefferson County, KY",Msa,43,1192,0.002523129,0.013640239
394669,"Hartford, CT",Msa,44,1536,-0.019157088,-0.016949153
395022,"Richmond, VA",Msa,45,1414,0.017266187,0.031922791
394910,"New Orleans, LA",Msa,46,1357,-0.007315289,-0.018664752
394425,"Buffalo, NY",Msa,47,1200,0.000834028,-0.006628003
395012,"Raleigh, NC",Msa,48,1472,0.024356298,0.001393728
394388,"Birmingham, AL",Msa,49,1048,0,-0.008514664
395053,"Salt Lake City, UT",Msa,50,1628,0.028427037,0.029928432
