RegionID,RegionName,StateName,SizeRank,JanuaryHomeSales,FebruaryHomeSales,MarchHomeSales,AprilHomeSales,MayHomeSales,JuneHomeSales,JulyHomeSales
61639,10025,NY,1,55,64,64,49,68,60,67
84654,60657,IL,2,99,123,148,283,226,223,260
61637,10023,NY,3,72,81,78,69,76,95,92
90668,75070,TX,4,165,163,208,202,254,231,280
91982,77494,TX,5,136,143,172,208,229,202,
93144,79936,TX,6,63,79,89,76,93,89,112
91733,77084,TX,7,157,152,153,138,177,152,160
61616,10002,NY,8,19,19,22,10,17,24,21
84640,60640,IL,9,157,61,90,139,120,152,242
91940,77449,TX,10,95,115,142,131,174,172,199
97564,94109,CA,11,29,22,36,24,29,34,
61630,10016,NY,12,61,53,56,50,69,57,104
74101,37013,TN,13,104,110,118,121,160,155,156
96107,90250,CA,14,29,39,42,39,45,43,53
74242,37211,TN,15,83,74,100,118,128,136,161
61623,10009,NY,16,17,11,9,10,10,14,6
92593,78660,TX,17,95,100,142,133,165,166,177
84620,60618,IL,18,77,64,105,116,136,151,153
61625,10011,NY,19,86,52,58,58,51,75,65
92036,77573,TX,20,120,148,159,162,188,175,173
92045,77584,TX,21,104,84,107,128,151,140,139
69816,28269,NC,22,96,147,137,155,226,227,
93123,79912,TX,23,73,70,72,91,99,97,127
92515,78572,TX,24,59,66,78,58,90,66,
97771,94565,CA,25,148,106,142,132,139,133,
71067,30349,GA,26,86,98,123,145,155,118,
66126,20002,DC,27,53,60,79,83,122,94,85
96027,90046,CA,28,35,24,55,55,49,54,57
92271,78130,TX,29,71,51,75,74,125,131,133
92551,78613,TX,30,91,88,92,125,161,148,158
66133,20009,DC,31,46,45,56,63,91,57,77
90654,75052,TX,32,91,78,103,103,110,125,155
61796,10456,NY,33,5,7,4,4,,,
61617,10003,NY,34,49,40,47,43,62,47,52
91922,77429,TX,35,107,115,141,116,182,180,196
62017,11206,NY,36,9,10,17,6,14,12,13
86026,63376,MO,37,82,79,129,112,143,173,175
84615,60613,IL,38,61,86,136,144,156,182,182
91968,77479,TX,39,72,91,127,151,165,143,
70829,30044,GA,40,97,114,137,167,175,142,
89925,73099,OK,41,110,81,152,107,181,160,163
91685,77036,TX,42,23,16,26,19,37,32,28
91926,77433,TX,43,95,96,94,154,156,176,202
84630,60629,IL,44,77,53,70,70,86,91,85
84627,60625,IL,45,33,62,73,83,93,117,127
70828,30043,GA,46,96,114,136,154,186,171,
90637,75034,TX,47,75,76,92,89,111,124,136
90823,75287,TX,48,25,28,35,32,26,45,48
69823,28277,NC,49,99,96,132,166,177,192,182
61638,10024,NY,50,48,50,64,51,64,46,57
94748,85032,AZ,51,114,142,155,166,158,152,142
60545,7030,NJ,52,60,66,90,84,95,143,147
66843,21234,MD,53,89,85,106,121,115,150,
67732,23464,VA,54,74,73,112,83,138,148,109
91726,77077,TX,55,47,49,70,57,72,69,77
97711,94501,CA,56,19,28,44,30,46,46,48
70874,30096,GA,57,70,65,103,98,102,117,
92617,78704,TX,58,48,64,80,64,82,87,
99534,98052,WA,59,35,31,67,87,79,97,85
91889,77379,TX,60,102,101,125,136,145,173,211
90795,75243,TX,61,22,27,25,51,49,61,
62032,11221,NY,62,4,5,1,2,,,
92341,78245,TX,63,109,84,103,123,113,130,
61148,8701,NJ,64,181,92,132,97,115,141,
62018,11207,NY,65,9,14,6,20,12,10,15
84621,60619,IL,66,70,54,53,74,70,73,77
96015,90034,CA,67,14,17,27,22,20,21,28
97565,94110,CA,68,16,32,44,38,42,52,
92598,78666,TX,69,43,26,53,48,68,55,64
70810,30024,GA,70,92,86,147,137,188,216,
84612,60610,IL,71,96,81,124,157,164,195,160
61633,10019,NY,72,57,44,57,61,67,69,67
77007,44107,OH,73,48,46,54,66,84,99,
90665,75067,TX,74,54,47,75,62,63,74,86
72363,33025,FL,75,103,91,141,112,113,115,133
72578,33411,FL,76,150,130,182,176,179,188,
72442,33139,FL,77,139,114,146,172,172,170,163
96025,90044,CA,78,24,27,32,34,30,31,29
58669,2169,MA,79,47,27,33,31,40,54,
67730,23462,VA,80,62,62,94,104,103,118,122
96239,90805,CA,81,13,27,39,40,52,41,38
87074,66062,KS,82,84,96,127,113,178,185,
76953,44035,OH,83,67,58,80,86,91,107,
98325,95630,CA,84,73,55,75,109,125,155,129
96193,90650,CA,85,45,50,70,73,58,80,64
62044,11234,NY,86,55,46,59,52,64,53,61
61793,10453,NY,87,,,,,,,
96990,92683,CA,88,41,37,43,45,49,58,34
95048,85710,AZ,89,76,79,96,,,,
65810,19143,PA,90,86,65,89,124,100,110,
92654,78745,TX,91,65,59,76,68,95,99,98
61790,10314,NY,92,118,104,103,104,106,158,133
84619,60617,IL,93,79,50,80,93,76,85,85
71005,30281,GA,94,91,115,96,168,107,154,
71864,32210,FL,95,123,101,137,133,145,133,194
74156,37075,TN,96,90,74,96,122,102,139,
84613,60611,IL,97,121,88,159,149,197,239,219
94820,85225,AZ,98,86,108,153,131,169,134,159
96545,91910,CA,99,41,40,40,56,57,73,46
95306,87111,NM,100,68,60,79,83,118,98,
61792,10452,NY,101,4,7,4,4,2,5,9
60081,6010,CT,102,60,31,43,53,62,75,
92336,78240,TX,103,26,33,43,59,62,53,55
95309,87114,NM,104,96,77,122,129,124,138,
95804,89108,NV,105,118,115,147,100,118,126,
94890,85308,AZ,106,98,98,145,146,183,178,151
62022,11211,NY,107,30,10,10,16,20,14,17
65133,17603,PA,108,110,69,107,107,134,120,119
97431,93722,CA,109,64,65,109,97,128,133,104
93263,80134,CO,110,100,76,124,165,152,172,
79040,48180,MI,111,134,96,76,91,114,139,
92520,78577,TX,112,46,34,37,43,47,52,
64180,15601,PA,113,49,49,67,85,100,89,96
98304,95608,CA,114,60,49,64,80,101,73,104
76491,43055,OH,115,60,80,94,97,113,123,99
76511,43081,OH,116,74,66,81,110,131,140,166
76971,44060,OH,117,56,65,97,95,120,116,130
93203,80013,CO,118,111,79,147,118,130,179,138
72362,33024,FL,119,88,86,125,136,149,136,167
66705,20906,MD,120,100,68,85,111,120,118,
72347,33009,FL,121,113,103,135,137,126,136,135
96047,90066,CA,122,42,40,56,50,50,61,35
76534,43123,OH,123,83,75,116,107,128,138,163
99142,97229,OR,124,105,101,112,114,136,128,113
91198,76028,TX,125,98,100,124,113,143,156,178
96467,91709,CA,126,61,62,73,73,82,83,86
62093,11385,NY,127,20,16,21,14,21,12,22
99500,98012,WA,128,72,77,108,120,134,130,133
91950,77459,TX,129,95,78,115,116,144,122,
96987,92677,CA,130,65,80,125,103,105,121,86
98432,95823,CA,131,75,88,97,105,96,100,84
72901,33908,FL,132,108,104,150,184,178,106,
77094,44256,OH,133,48,66,90,93,96,107,
58660,2148,MA,134,25,15,17,27,39,34,
84622,60620,IL,135,65,68,92,91,77,90,88
61642,10028,NY,136,38,39,49,52,42,50,63
77400,45011,OH,137,62,69,93,103,75,140,
91221,76063,TX,138,86,85,86,87,126,143,139
72737,33647,FL,139,123,,,,,,
62048,11238,NY,140,24,28,25,27,24,36,47
84635,60634,IL,141,52,49,83,81,130,111,154
61169,8753,NJ,142,166,99,133,149,134,160,
60499,6902,CT,143,36,37,45,40,50,53,
99563,98103,WA,144,39,35,54,66,86,89,71
96825,92345,CA,145,85,68,98,109,113,83,99
90780,75228,TX,146,51,52,79,76,71,68,
96667,92126,CA,147,48,39,56,59,64,53,61
96000,90019,CA,148,,,,,,,
76539,43130,OH,149,73,54,99,107,120,110,82
78085,46307,IN,150,,,,,,,
91325,76244,TX,151,117,130,132,167,197,181,213
69450,27610,NC,152,75,65,96,95,119,101,111
95817,89121,NV,153,90,72,131,105,97,115,
70698,29732,SC,154,100,115,141,126,172,142,128
90657,75056,TX,155,76,71,79,84,123,131,109
70825,30040,GA,156,98,121,160,190,204,255,
70953,30188,GA,157,107,148,177,161,193,209,
93146,79938,TX,158,66,75,97,98,109,114,139
96817,92336,CA,159,81,84,111,116,123,122,109
66135,20011,DC,160,73,66,76,64,91,93,77
91744,77095,TX,161,76,71,98,91,119,122,142
96546,91911,CA,162,50,38,40,70,58,69,42
96882,92503,CA,163,58,65,78,73,91,79,74
97743,94536,CA,164,41,,,,,,
60518,7002,NJ,165,51,63,63,70,49,85,
69431,27587,NC,166,91,81,155,153,191,145,
62043,11233,NY,167,4,6,4,3,4,4,3
96125,90280,CA,168,24,21,18,22,28,31,36
67180,22191,VA,169,52,53,88,73,91,100,123
95813,89117,NV,170,90,96,132,88,111,93,
65779,19111,PA,170,65,41,61,65,75,86,89
95314,87120,NM,171,92,79,120,122,147,129,
76597,43230,OH,172,76,66,73,77,78,98,119
62046,11236,NY,173,20,13,21,13,22,13,23
96477,91730,CA,174,49,51,53,79,78,67,68
67655,23320,VA,175,48,64,96,81,116,131,145
90226,74012,OK,176,60,83,90,112,105,120,
96083,90201,CA,177,14,13,4,17,8,9,8
96934,92592,CA,177,105,96,131,148,163,144,151
71895,32244,FL,178,102,89,100,93,115,106,177
66785,21117,MD,179,77,54,49,66,78,114,50
96651,92109,CA,180,35,41,51,62,67,55,48
84629,60628,IL,181,95,86,99,107,84,111,104
61797,10457,NY,182,4,4,6,7,4,4,5
73221,34787,FL,183,244,198,222,195,180,171,190
91941,77450,TX,184,82,91,101,75,123,121,144
96643,92101,CA,185,62,67,97,95,80,94,73
72247,32822,FL,186,70,69,78,84,93,100,83
71038,30318,GA,187,117,116,137,157,178,164,
70859,30080,GA,188,81,104,147,149,146,120,
60599,7093,NJ,189,28,44,48,42,48,48,71
84628,60626,IL,190,43,14,58,52,70,78,78
95985,90004,CA,191,15,,,,,,
69699,28078,NC,192,79,102,114,181,217,196,197
61641,10027,NY,193,22,12,15,15,19,9,11
73014,34135,FL,194,114,124,168,188,206,133,
96208,90706,CA,195,29,31,30,29,39,40,36
70842,30062,GA,196,75,85,116,153,163,182,
72488,33186,FL,196,96,76,119,133,116,133,158
70835,30052,GA,197,111,110,133,145,161,157,
70826,30041,GA,198,85,94,137,154,188,157,
90769,75217,TX,199,44,41,61,57,62,67,70
72350,33012,FL,200,60,42,62,62,60,66,67
71050,30331,GA,201,76,85,97,95,108,117,
71902,32256,FL,202,69,72,81,87,98,96,145
73183,34711,FL,203,122,130,150,135,173,150,128
84647,60649,IL,204,28,20,35,33,30,45,40
96816,92335,CA,205,36,50,48,61,50,56,44
74187,37130,TN,206,54,63,62,99,84,92,
67722,23454,VA,207,75,58,98,88,110,102,112
74815,38401,TN,208,96,82,99,108,90,106,113
96590,92021,CA,209,49,37,57,59,47,68,42
79044,48185,MI,210,79,64,69,66,87,86,
97118,93065,CA,211,60,64,84,86,111,85,122
96368,91342,CA,212,55,40,69,80,78,83,85
77030,44130,OH,213,33,38,60,57,72,86,
98411,95747,CA,214,92,107,148,196,204,200,167
71871,32218,FL,215,80,83,95,106,124,124,158
97991,95123,CA,216,29,52,85,76,93,77,71
76471,43026,OH,217,64,65,93,99,124,166,143
66142,20019,DC,218,72,55,73,65,79,73,65
67182,22193,VA,219,80,61,88,97,120,125,147
58666,2155,MA,220,32,20,17,26,37,58,
96959,92627,CA,221,39,36,56,33,63,45,29
72530,33311,FL,222,69,87,119,130,113,109,109
95043,85705,AZ,223,39,25,47,42,,,
67222,22304,VA,224,46,45,79,61,84,88,
70808,30022,GA,224,63,86,122,143,135,163,
67787,23666,VA,225,47,37,76,64,86,76,85
58743,2360,MA,226,61,55,81,75,112,137,
72393,33064,FL,226,91,83,116,101,105,126,118
66125,20001,DC,227,33,53,54,43,69,69,55
70294,29072,SC,228,65,88,158,143,183,173,
95785,89052,NV,229,110,116,142,142,110,117,55
95992,90011,CA,230,23,19,15,21,16,14,16
90759,75206,TX,231,36,50,48,52,72,73,
71837,32174,FL,232,83,115,105,140,135,108,
72392,33063,FL,233,97,78,118,123,148,135,164
95315,87121,NM,234,117,83,114,136,138,130,
96006,90025,CA,235,21,38,32,32,42,35,33
61635,10021,NY,236,62,68,56,46,69,72,56
96008,90027,CA,237,17,9,30,19,28,28,24
61895,10701,NY,238,10,7,11,10,4,9,6
76983,44077,OH,239,43,40,61,63,68,106,92
90638,75035,TX,239,88,84,116,107,134,130,168
61200,8831,NJ,240,133,95,140,162,137,173,
91731,77082,TX,241,39,33,31,39,40,46,61
97751,94544,CA,242,32,27,30,40,48,48,
65791,19124,PA,243,88,68,93,94,106,91,
92576,78641,TX,244,79,97,102,108,126,144,148
84618,60616,IL,245,61,47,65,77,81,135,94
76595,43228,OH,246,72,33,64,61,73,71,115
72532,33313,FL,247,83,95,117,144,120,109,113
97952,95051,CA,248,24,27,46,42,48,55,50
66242,20147,VA,249,53,54,91,123,117,146,133
67720,23452,VA,250,68,65,88,92,97,97,103
96468,91710,CA,251,60,56,83,59,75,82,85
96364,91335,CA,252,51,50,58,54,68,49,63
73409,35242,AL,253,78,74,120,104,142,163,
70904,30127,GA,254,95,88,111,176,136,200,
96221,90731,CA,255,12,31,30,25,37,25,34
70696,29730,SC,256,77,81,106,100,118,109,96
93205,80015,CO,257,74,81,137,113,143,183,152
71878,32225,FL,258,86,84,115,99,116,112,179
70791,30004,GA,259,78,100,126,162,160,149,
97328,93550,CA,260,64,64,85,103,113,87,120
76501,43068,OH,260,82,64,80,85,80,92,132
62019,11208,NY,261,16,7,11,14,11,10,10
95819,89123,NV,262,91,99,102,120,108,123,35
97717,94509,CA,263,125,118,173,151,173,150,
92474,78501,TX,264,38,36,51,49,47,55,
85941,63123,MO,265,73,53,85,86,105,118,123
66825,21215,MD,266,95,77,89,92,82,97,
70496,29464,SC,267,110,86,130,112,171,178,
84624,60622,IL,268,71,59,86,133,114,139,150
60594,7087,NJ,269,36,54,46,47,41,47,41
72252,32828,FL,270,85,78,87,104,163,151,132
91706,77057,TX,271,31,32,50,39,44,44,53
67719,23451,VA,272,53,55,77,74,107,90,97
67598,23223,VA,273,51,72,72,74,69,86,50
84617,60615,IL,274,37,32,40,40,37,55,66
70909,30135,GA,275,89,116,141,158,161,182,
69275,27284,NC,276,68,67,80,82,109,115,118
65933,19446,PA,277,67,33,41,61,71,91,
63478,14221,NY,278,52,49,32,36,60,71,33
99575,98115,WA,279,29,44,54,68,85,70,59
84641,60641,IL,280,37,27,59,59,78,68,73
97576,94122,CA,281,11,17,26,37,36,30,
97435,93727,CA,282,105,86,82,107,116,119,80
91261,76116,TX,283,44,58,74,71,83,69,91
66787,21122,MD,284,103,65,93,114,151,159,
97319,93536,CA,285,99,65,114,116,114,133,139
97318,93535,CA,286,83,93,106,101,134,95,158
94843,85251,AZ,287,129,142,161,148,185,161,121
72538,33319,FL,288,115,121,176,205,166,145,146
92345,78249,TX,289,61,49,59,72,78,66,
65701,19020,PA,290,39,25,41,43,52,48,51
72540,33321,FL,291,112,104,174,168,143,174,191
58710,2301,MA,292,35,25,41,36,57,68,
98413,95758,CA,293,54,68,82,86,101,98,96
84656,60660,IL,294,37,77,58,82,69,83,101
97222,93306,CA,295,70,54,88,79,96,93,94
62036,11225,NY,296,12,4,14,12,11,10,13
89982,73160,OK,297,90,94,106,89,111,114,
63615,14580,NY,298,41,36,57,57,72,104,61
95770,89031,NV,299,126,144,162,141,135,141,
65787,19120,PA,300,74,71,66,73,101,70,
62015,11204,NY,301,14,23,24,16,21,14,26
97223,93307,CA,302,39,50,47,56,61,63,56
72626,33467,FL,303,131,82,153,171,140,161,
67189,22204,VA,304,35,42,52,57,82,73,68
66679,20874,MD,305,86,70,80,98,134,106,
74185,37128,TN,305,74,87,107,148,163,171,
97225,93309,CA,306,52,49,67,73,84,85,88
97940,95035,CA,307,31,34,41,63,51,45,57
61646,10032,NY,308,7,5,14,4,9,6,6
87073,66061,KS,309,74,79,104,117,131,185,
62030,11219,NY,310,8,13,22,12,11,10,11
84317,60056,IL,311,47,31,67,98,113,119,146
94871,85282,AZ,312,71,97,89,87,98,98,100
70377,29223,SC,313,89,59,99,73,79,70,
70482,29445,SC,314,98,92,122,120,102,127,135
90645,75043,TX,315,84,71,98,93,87,87,121
72460,33157,FL,316,80,72,80,116,98,136,120
97745,94538,CA,317,24,44,45,43,45,52,45
74145,37064,TN,318,99,69,115,123,132,145,147
99961,98682,WA,319,100,90,124,112,134,113,116
97748,94541,CA,320,34,40,48,48,57,63,57
84340,60085,IL,321,47,36,30,35,57,38,67
99589,98133,WA,322,42,42,47,56,59,68,61
88757,70726,LA,323,56,37,64,70,63,59,92
91656,77007,TX,324,52,77,98,83,99,97,116
90612,75002,TX,325,72,75,88,93,116,122,
96962,92630,CA,326,56,63,66,78,81,90,59
69779,28216,NC,327,83,83,94,95,125,127,100
77986,46143,IN,328,106,77,98,103,134,169,168
62024,11213,NY,329,7,8,10,9,9,9,10
74214,37167,TN,330,73,56,92,84,105,98,
72220,32792,FL,331,63,55,86,79,99,90,
96965,92647,CA,332,31,23,44,38,28,44,29
74183,37122,TN,333,89,71,89,118,94,121,140
71897,32246,FL,334,78,76,106,106,122,107,190
66143,20020,DC,335,44,36,44,47,42,50,42
92003,77521,TX,336,61,65,44,65,69,93,100
100157,99208,WA,337,69,61,80,100,123,125,109
91732,77083,TX,338,50,49,50,66,70,73,91
85866,63021,MO,339,66,52,64,79,113,103,138
71344,30909,GA,340,49,71,75,72,76,,
70658,29681,SC,341,105,97,88,122,149,179,158
70984,30253,GA,342,80,128,121,151,225,232,
70513,29485,SC,343,92,82,123,113,138,151,174
96646,92104,CA,344,37,25,49,45,55,56,46
96657,92115,CA,344,54,55,53,58,53,80,62
96186,90631,CA,345,41,52,65,56,68,69,79
64009,15301,PA,346,42,39,45,69,58,51,88
71342,30906,GA,347,81,60,94,92,89,,
