Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
7/31/2018,61639,10025,NY,New York,New York,New York,0,1112600,-0.005541652,-0.012777285,0.012927895,,,2017-12,2017-Q4,1142100,-0.025829612,2017-10
7/31/2018,84654,60657,IL,Chicago,Cook,Chicago,1,344200,-0.004626952,-0.01460063,0.000290613,,,2018-03,2018-Q1,350800,-0.018814139,2017-10
7/31/2018,61637,10023,NY,New York,New York,New York,2,1478100,-0.017286085,-0.020736717,-0.086125881,,,2016-12,2016-Q4,1621200,-0.08826795,2015-07
7/31/2018,90668,75070,TX,Dallas-Fort Worth,Collin,McKinney,3,322400,-0.002166512,0.000620732,0.049820905,,,2018-06,2018-Q2,323100,-0.002166512,2018-05
7/31/2018,91982,77494,TX,Houston,Harris,Katy,4,336600,0.00238237,0.012635379,0.04925187,,,2018-07,2018-Q3,336600,0,2018-07
7/31/2018,84616,60614,IL,Chicago,Cook,Chicago,5,426000,0.001881468,-0.000938086,0.011876485,,,2018-03,2018-Q1,427900,-0.00444029,2018-02
7/31/2018,93144,79936,TX,El Paso,El Paso,El Paso,6,123300,0.003254679,0.016488046,0.034395973,,,2007-10,2007-Q4,132400,-0.068731118,2007-03
7/31/2018,91733,77084,TX,Houston,Harris,Houston,7,166400,0.003013864,0.013398295,0.055837563,,,2018-07,2018-Q3,166400,0,2018-07
7/31/2018,61616,10002,NY,New York,New York,New York,8,1013500,0.002770357,0.018695346,0.018388264,,,2018-07,2018-Q3,1013500,0,2018-07
7/31/2018,61807,10467,NY,New York,Bronx,New York,9,410200,0.010096035,0.028327902,0.116494284,,,2018-07,2018-Q3,410200,0,2018-07
7/31/2018,84640,60640,IL,Chicago,Cook,Chicago,10,239000,-0.005409904,-0.011579818,-0.004995837,,,2007-01,2007-Q1,270000,-0.114814815,2004-10
7/31/2018,91940,77449,TX,Houston,Harris,Katy,11,176900,0.000565611,0.00340329,0.06182473,,,2018-07,2018-Q3,176900,0,2018-07
7/31/2018,97564,94109,CA,San Francisco,San Francisco,San Francisco,12,1259200,0.006715702,0.015565771,0.052402842,,,2018-01,2018-Q1,1260000,-0.000634921,2018-01
7/31/2018,62037,11226,NY,New York,Kings,New York,13,827900,0.011484423,0.057748818,0.237333732,,,2018-07,2018-Q3,827900,0,2018-07
7/31/2018,61630,10016,NY,New York,New York,New York,14,1042100,-0.004775093,0.004821136,-0.003156686,,,2017-02,2017-Q1,1091200,-0.044996334,2016-03
7/31/2018,71831,32162,FL,The Villages,Sumter,The Villages,15,258200,0.005451713,0.016935801,0.043232323,,,2018-07,2018-Q3,258200,0,2018-07
7/31/2018,62087,11375,NY,New York,Queens,New York,16,971100,-0.004102143,-0.005529954,0.033634912,,,2018-05,2018-Q2,976800,-0.005835381,2018-03
7/31/2018,62045,11235,NY,New York,Kings,New York,17,729100,-0.001506437,0.00096101,0.073152782,,,2018-06,2018-Q2,730200,-0.001506437,2018-05
7/31/2018,74101,37013,TN,Nashville,Davidson,Nashville,18,209200,0.006737247,0.020985847,0.142545057,,,2018-07,2018-Q3,209200,0,2018-07
7/31/2018,96107,90250,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Hawthorne,19,623300,0.004836369,0.01514658,0.081742451,,,2018-07,2018-Q3,623300,0,2018-07
7/31/2018,84646,60647,IL,Chicago,Cook,Chicago,20,384100,-0.00492228,-0.002596728,0.022086216,,,2018-05,2018-Q2,386300,-0.005695056,2018-04
