Zip,City,State,Metro,CountyName,SizeRank,Latitude,Longitude,ForecastYoYPctChange,MedianPrice,Zhvi,MoM,QoQ,YoY,PeakZHVI,PctFallFromPeak,PriceToRentRatio,MarketHealthIndex,SellForGain,NegativeEquity,Delinquency,DaysOnMarket,MedianPricePerSqft
10002,New York,NY,New York,New York,8,40.707647,-74.011353,3.173754317,1550000,1013500,0.002770357,0.018695346,0.018388264,1013500,0,24.28,4.01271245,100,,,141,1995.884774
10005,New York,NY,New York,New York,6693,40.707473,-74.011104,3.682445429,1240000,1195700,-0.008293937,-0.021201703,0.006905263,1229200,-0.027253498,23.57,3.383998895,100,0.092198582,0,141,1333.056478
10007,New York,NY,New York,New York,8578,40.713941,-74.007401,0.965495792,3998000,2733000,-0.003936147,0.001502437,0.017877095,2865400,-0.046206463,27.49,3.017825066,100,0.084033613,0,141,2060.606061
10009,New York,NY,New York,New York,22,40.72775,-73.980396,-0.33753453,1597000,1158400,-0.009152339,-0.01345597,-0.042407208,1219300,-0.049946691,25.66,0.631477131,100,,,141,1784.67113
1001,Agawam,MA,Springfield,Hampden,5745,42.06954,-72.61481,4.943245779,213000,213200,0,0.011865211,0.080040527,213200,0,11.26,2.313113168,75,0.069027828,0.068062827,71,156.1458333
10013,New York,NY,New York,New York,1937,40.722105,-74.003497,1.95579914,3750000,3092700,0.00074424,0.006771054,-0.038638483,3350600,-0.076971289,27.85,4.224816913,100,0.067708333,0,141,1991.508181
10016,New York,NY,New York,New York,14,40.745527,-73.978449,3.028596104,1430000,1042100,-0.004775093,0.004821136,-0.003156686,1091200,-0.044996334,23.33,1.861268481,100,0.106484642,0.025641026,172,1446.490095
10019,New York,NY,New York,New York,80,40.765926,-73.985443,3.848426412,1695000,1296400,-0.002692515,0.011627,0.006834421,1353600,-0.042257683,24.76,3.638247893,93.33,0.07300885,0,125,1725.894899
1002,Amherst,MA,Springfield,Hampshire,4132,42.367092,-72.464571,2.391382947,379250,331900,-0.003003905,0.009735321,0.076548816,332900,-0.003003905,12.43,3.980240431,92.31,0.045414847,0.038461538,88,211.8817317
10027,New York,NY,New York,New York,224,40.812242,-73.9532,-3.471863848,995000,1092900,-0.018147516,-0.007807535,0.094103514,1119600,-0.023847803,27.62,2.912809175,100,,,141,968.1125044
10029,New York,NY,New York,New York,25,40.791884,-73.943517,2.811849784,949750,788200,-0.009425663,-0.015488384,0.026836894,801600,-0.016716567,26.84,1.843305237,100,,,141,1251.968504
10036,New York,NY,New York,New York,711,40.75953,-73.989847,4.814059754,1260000,1138000,-0.012152778,-0.015485769,-0.032148325,1208400,-0.058258855,24.98,3.828934641,90,0.062857143,0,141,1610.725125
10038,New York,NY,New York,New York,3421,40.710223,-74.003368,1.439012948,1635000,1065800,-0.013696095,0.010141219,0.012251876,1080600,-0.013696095,24.03,1.090230759,100,,,141,1692.307692
10069,New York,NY,New York,New York,8343,40.777952,-73.988381,-1.672620913,2537500,1914600,-0.011360116,-0.006641071,-0.042652133,2038300,-0.060687828,26.39,3.129059002,100,0.048498845,0,141,1948.362194
1007,Belchertown,MA,Springfield,Hampshire,6667,42.280267,-72.402056,5.987332609,299450,276300,0.002903811,0.011346999,0.045007564,276300,0,12.62,3.842752522,100,0.046303211,0.048387097,74,166.4680175
1013,Chicopee,MA,Springfield,Hampden,4508,42.154904,-72.602804,6.831081081,185000,177600,-0.000562746,0.005662514,0.07376058,177700,-0.000562746,10.57,3.748100041,100,0.075715605,0.12804878,83,149.4736842
1020,Chicopee,MA,Springfield,Hampden,2654,42.150156,-72.606995,5.730810235,194943.5,187600,0,0.000533333,0.062889518,187600,0,10.81,2.314494956,88.89,0.064257028,0.110294118,73,163.0084224
1027,Easthampton,MA,Springfield,Hampshire,5199,42.26676,-72.66898,4.894716692,316250,261200,0.00268714,0.0155521,0.082469954,261200,0,12.81,5.183777808,100,0.027620397,0.025641026,74,190.8040599
1028,East Longmeadow,MA,Springfield,Hampden,6388,42.062009,-72.49874,4.131973836,322400,259900,0.001155624,0.013650546,0.096161957,259900,0,11.58,4.060384137,90,0.050789293,0.067567568,71,172.2431078
10280,New York,NY,New York,New York,7615,40.708857,-74.016217,0.812465708,947500,911300,-0.01566213,0.008856415,0.01221815,925800,-0.01566213,21.61,2.328312837,100,0.098546042,0,141,1272.430669
1030,Agawam,MA,Springfield,Hampden,7556,42.06815,-72.6787,6.312141099,277400,243800,0.002879473,0.013300083,0.021365731,244400,-0.002454992,11.88,3.58781263,100,0.042574257,0.058139535,65,175.8487654
10301,New York,NY,New York,Richmond,2186,40.623632,-74.093323,8.669872958,547000,551000,0.00878799,0.033189574,0.086999408,551000,0,21.03,8.907696559,,0.065088757,0.090909091,161,392.8571429
10302,New York,NY,New York,Richmond,7136,40.634534,-74.129284,10.92717155,427294,413300,0.001696558,0.010760577,0.028621205,413300,0,17.25,4.564045875,,0.073858115,0.223684211,141,343.7791937
10303,New York,NY,New York,Richmond,5697,40.631697,-74.165016,11.39167351,382500,365100,0.001096792,0.017842208,0.112770497,365100,0,15.22,5.543733591,,0.09921671,0.163157895,142,323.8636364
10304,New York,NY,New York,Richmond,2060,40.608389,-74.093684,8.153088291,599243.5,527800,0.005908138,0.026648512,0.115148954,527800,0,20.44,6.557275114,,0.05252686,0.181818182,128,415.6695157
10305,New York,NY,New York,Richmond,2495,40.60695,-74.060596,8.735881346,569888,525900,0.007471264,0.029561472,0.105296343,525900,0,20.18,9.360923034,,0.042134831,0.05,136.5,428.5714286
10306,New York,NY,New York,Richmond,837,40.559668,-74.12241,7.833919645,598400,540100,0.007461295,0.028370145,0.1214701,540100,0,21.31,7.608815808,,0.038802661,0.142857143,120.5,430.6537102
10307,New York,NY,New York,Richmond,8031,40.510723,-74.24194,8.672163121,745000,564000,0.001420455,0.019154319,0.103934234,564000,0,23.35,8.504905348,,0.030501089,0.142857143,141,378.2438091
10308,New York,NY,New York,Richmond,5064,40.551191,-74.148893,9.679660363,577000,518200,0.00348567,0.010333398,0.071768356,518200,0,20.86,8.764681498,,0.031397174,0.075,135,412.6984127
10309,New York,NY,New York,Richmond,4438,40.531767,-74.218779,10.33451015,639000,566500,0.004788932,0.011065501,0.049851742,566500,0,21.43,7.928699737,,0.028877888,0.142857143,146,368.8310249
10312,New York,NY,New York,Richmond,958,40.545163,-74.174692,9.007900677,589000,531600,0.002640513,0.014116749,0.07611336,531600,0,21.32,7.85684676,,0.035421392,0.103448276,137,368.6695906
10314,New York,NY,New York,Richmond,101,40.621891,-74.129092,8.045767905,550000,522200,0.003458878,0.021517997,0.085429225,522200,0,20.15,8.52770485,,0.036634401,0.085365854,133.5,391.7825537
1040,Holyoke,MA,Springfield,Hampden,1769,42.198291,-72.64207,5.671680498,224900,192800,0.002079002,0.012605042,0.067552602,192800,0,11.27,1.621528258,76.47,0.07234315,0.088495575,66,130.7254408
10461,New York,NY,New York,Bronx,1027,40.845279,-73.843103,10.64769926,459000,486800,0.016496137,0.055507372,0.062882096,486800,0,23.1,5.924416195,100,0.067961165,0.063492063,105.5,344.3349754
10462,New York,NY,New York,Bronx,39,40.842729,-73.854703,19.33587258,169499.5,144400,0.012622721,0.031428571,0.137903861,144400,0,9.73,5.89954401,91.67,0.17254902,0.079545455,114.5,226.3636364
10465,New York,NY,New York,Bronx,2775,40.826879,-73.825153,7.736259229,517200,487600,0.007854485,0.017104714,0.070707071,487600,0,22.26,7.154898439,88.89,0.068836045,0.136363636,148,336.689742
10466,New York,NY,New York,Bronx,613,40.890964,-73.846239,8.828811974,449000,427600,0.005644403,0.011831519,0.097817715,427600,0,19.66,5.009672516,75,0.09034749,0.273504274,155,293.3226178
10469,New York,NY,New York,Bronx,936,40.869978,-73.844903,9.808574049,485000,436200,0.009021513,0.024665257,0.059766764,436200,0,21.86,7.697941136,85.71,0.076035658,0.213793103,175,322.2235237
10473,New York,NY,New York,Bronx,687,40.816229,-73.860304,7.983373494,349500,415000,0.007037127,0.03801901,0.179647527,415000,0,18.08,6.848832389,50,0.108468126,0.175438596,177,288.1481481
10504,North Castle,NY,New York,Westchester,9044,41.121175,-73.715214,4.569652808,1412000,933200,-0.006070934,0.001287554,0.007775378,1294200,-0.278936795,14.99,3.431670582,100,0.064967105,0.012658228,223.5,375.3951528
10509,Southeast,NY,New York,Putnam,5959,41.39732,-73.61707,8.504145408,385000,313600,0.002237136,0.011286682,0.050234427,408600,-0.232501224,11.62,1.178665193,45.45,0.090720581,0.091428571,103,224.847561
10510,Briarcliff Manor,NY,New York,Westchester,8504,41.14565,-73.82375,5.163616646,918000,737700,0.000678242,0.015276631,0.026865256,839200,-0.120948522,15.13,4.137073373,,0.049751244,0.02,111,309.2105263
10512,Lake Carmel,NY,New York,Putnam,4402,41.461483,-73.670963,8.384087791,339900,291600,0.003786575,0.01214856,0.058439201,362700,-0.196029777,10.54,1.305789692,80,0.107747748,0.123745819,112,217.2782733
10514,Chappaqua,NY,New York,Westchester,8143,41.16845,-73.76197,3.585891648,999999,886000,0.002602693,0.021796794,0.041372826,1067000,-0.169634489,13.89,4.126019069,100,0.052479538,0.082568807,126,331.4896755
10516,Philipstown,NY,New York,Putnam,9332,41.4621,-73.875003,2.306602871,599000,522500,0.003264209,0.030165615,0.121726063,522500,0,15.54,3.61890286,100,0.052369077,0.142857143,117,304.0151515
10524,Philipstown,NY,New York,Putnam,9787,41.375016,-73.931844,3.739954667,625000,485300,-0.000617792,0.017187173,0.165186074,504600,-0.038248117,13.37,5.992814702,100,0.066666667,0,117,291.4052029
10528,Harrison,NY,New York,Westchester,7705,40.979118,-73.723036,1.819744271,1499000,1204400,0.005426162,0.018433959,0.148031646,1279600,-0.058768365,14.69,6.186265027,100,0.02764977,0.166666667,111,410.899116
10536,Somers,NY,New York,Westchester,8359,41.25898,-73.68541,8.237002342,864925,640500,0.00078125,0.000624902,0.025784753,807000,-0.206319703,14.46,4.155727511,100,0.072232645,0.012987013,101,275.8491975
10541,Carmel,NY,New York,Putnam,5107,41.412395,-73.752059,6.060250391,449000,383400,0.002877321,0.006563402,0.044686649,464100,-0.173884939,13.09,2.337294459,88.89,0.074801662,0.151515152,105,252.9039071
10549,Mount Kisco,NY,New York,Westchester,6502,41.197329,-73.72286,4.506329114,830000,695200,-0.009122007,-0.024006739,0.00129627,800100,-0.131108611,14.12,0.418681774,85.71,0.050718512,0.116666667,111.5,304.2309246
1056,Ludlow,MA,Springfield,Hampden,5123,42.16009,-72.47592,7.054428044,277000,216800,0.001848429,0.001848429,0.017840376,221300,-0.020334388,11.81,3.377089954,100,0.058842759,0.061111111,73,166.7109575
10562,Ossining,NY,New York,Westchester,3410,41.16287,-73.86152,7.741509434,399450,424000,0.0014171,0.014596793,0.016299137,503700,-0.158229105,12.26,0.695039381,75,0.064788732,0.095652174,89,246.8701841
10566,Peekskill,NY,New York,Westchester,4516,41.29009,-73.92042,11.64884488,265000,303000,0.008655126,0.050988554,0.115611193,374000,-0.189839572,10.47,3.168439961,0,0.19361413,0.098245614,104.5,125
10570,Pleasantville,NY,New York,Westchester,7883,41.131069,-73.792214,4.344204563,840395,653100,0.002609764,0.027694729,0.006782796,701100,-0.068463843,15.09,4.191654,100,0.035149385,0.033333333,111,361.4106261
10573,Port Chester,NY,New York,Westchester,2857,41.022193,-73.679799,4.069565217,682000,621000,0.002421308,0.018867925,0.059004093,656700,-0.054362723,12.33,5.227995026,,0.051438053,0.086021505,131,342.1795131
10576,Pound Ridge,NY,New York,Westchester,9610,41.208519,-73.568126,2.869225928,1030000,794500,-0.000628931,-0.013166066,-0.009351621,1097100,-0.275818066,14,0.271521349,,0.093439364,0.085106383,111,313.9590225
