Zip,City,State,Metro,CountyName,SizeRank,Latitude,Longitude
10025,New York,NY,New York,New York,1,40.798664,-73.967778
60657,Chicago,IL,Chicago,Cook,2,41.940293,-87.646857
75070,McKinney,TX,Dallas-Fort Worth,Collin,3,33.158811,-96.627896
77494,Katy,TX,Houston,Harris,4,29.942646,-95.794584
60614,Chicago,IL,Chicago,Cook,5,41.922714,-87.649578
79936,El Paso,TX,El Paso,El Paso,6,31.776593,-106.296977
77084,Houston,TX,Houston,Harris,7,29.827486,-95.65992
10002,New York,NY,New York,New York,8,40.707647,-74.011353
60640,Chicago,IL,Chicago,Cook,9,41.972872,-87.662604
926,San Juan,NC,Durham,Chatham,10,0,0
77449,Katy,TX,Houston,Harris,11,29.837562,-95.733756
94109,San Francisco,CA,San Francisco,San Francisco,12,37.795219,-122.420782
11226,New York,NY,New York,Kings,13,40.644962,-73.956304
10016,New York,NY,New York,New York,14,40.745527,-73.978449
32162,The Villages,FL,The Villages,Sumter,15,28.940109,-81.983397
11375,New York,NY,New York,Queens,16,40.723041,-73.843688
11235,New York,NY,New York,Kings,17,40.584455,-73.948402
37013,Nashville,TN,Nashville,Davidson,18,36.036032,-86.645598
90250,Hawthorne,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,19,33.914775,-118.348083
60647,Chicago,IL,Chicago,Cook,20,41.921215,-87.701028
37211,Nashville,TN,Nashville,Davidson,21,36.070359,-86.718347
10009,New York,NY,New York,New York,22,40.72775,-73.980396
78660,Pflugerville,TX,Austin,Travis,23,30.442737,-97.597055
60618,Chicago,IL,Chicago,Cook,24,41.946962,-87.702548
10029,New York,NY,New York,New York,25,40.791884,-73.943517
77573,League City,TX,Houston,Galveston,26,29.496451,-95.052262
77584,Pearland,TX,Houston,Brazoria,27,29.284576,-95.286786
28269,Charlotte,NC,Charlotte,Mecklenburg,28,35.331981,-80.798583
79912,El Paso,TX,El Paso,El Paso,29,31.848583,-106.534316
78572,Mission,TX,McAllen,Hidalgo,30,26.228735,-98.376167
94565,Pittsburg,CA,San Francisco,Contra Costa,31,38.00307,-121.917219
30349,Riverdale,GA,Atlanta,Clayton,32,33.82238,-84.468639
20002,Washington,DC,Washington,District of Columbia,33,38.908218,-76.982147
90046,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,34,34.108455,-118.362081
78130,New Braunfels,TX,San Antonio,Comal,35,29.696878,-98.070726
78613,Cedar Park,TX,Austin,Williamson,36,30.503949,-97.8242
20009,Washington,DC,Washington,District of Columbia,37,38.919261,-77.039798
75052,Grand Prairie,TX,Dallas-Fort Worth,Dallas,38,32.664953,-97.024692
10462,New York,NY,New York,Bronx,39,40.842729,-73.854703
37042,Clarksville,TN,Clarksville,Montgomery,40,36.568751,-87.416323
77429,Cypress,TX,Houston,Harris,41,29.841242,-95.791911
63376,Saint Peters,MO,St. Louis,Saint Charles,42,38.798819,-90.623673
60613,Chicago,IL,Chicago,Cook,43,41.956949,-87.654272
77479,Sugar Land,TX,Houston,Fort Bend,44,29.605615,-95.627278
30044,Lawrenceville,GA,Atlanta,Gwinnett,45,33.941847,-84.070567
73099,Yukon,OK,Oklahoma City,Canadian,46,35.500606,-97.739675
77433,Cypress,TX,Houston,Harris,47,27.648787,-95.629535
10463,New York,NY,New York,Bronx,48,40.879528,-73.904355
11230,New York,NY,New York,Kings,49,40.62251,-73.966109
60629,Chicago,IL,Chicago,Cook,50,41.775868,-87.711496
60625,Chicago,IL,Chicago,Cook,51,41.973292,-87.700351
30043,Lawrenceville,GA,Atlanta,Gwinnett,52,34.00309,-84.012608
75034,Frisco,TX,Dallas-Fort Worth,Collin,53,33.174351,-96.766472
75287,Dallas,TX,Dallas-Fort Worth,Dallas,54,32.999309,-96.841688
28277,Charlotte,NC,Charlotte,Mecklenburg,55,35.864749,-78.903267
85032,Phoenix,AZ,Phoenix,Maricopa,56,33.62592,-112.002503
7030,Hoboken,NJ,New York,Hudson,57,40.746851,-74.033934
11214,New York,NY,New York,Kings,58,40.599523,-73.998594
21234,Parkville,MD,Baltimore,Baltimore,59,39.413106,-76.530044
33160,Sunny Isles Beach,FL,Miami-Fort Lauderdale,Miami-Dade,60,25.950648,-80.122823
78521,Brownsville,TX,Brownsville,Cameron,61,25.943923,-97.317944
23464,Virginia Beach,VA,Virginia Beach,Virginia Beach City,62,36.799473,-76.178375
77077,Houston,TX,Houston,Harris,63,29.750233,-95.615384
94501,Alameda,CA,San Francisco,Alameda,64,37.770563,-122.264779
30096,Duluth,GA,Atlanta,Gwinnett,65,33.984534,-84.152915
78704,Austin,TX,Austin,Travis,66,30.240685,-97.768832
98052,Redmond,WA,Seattle,King,67,47.678756,-122.121034
77379,Tomball,TX,Houston,Harris,68,30.040876,-95.528919
75243,Dallas,TX,Dallas-Fort Worth,Dallas,69,32.912633,-96.736637
11221,New York,NY,New York,Kings,70,40.69134,-73.927879
78245,San Antonio,TX,San Antonio,Bexar,71,29.406883,-98.722675
11229,New York,NY,New York,Kings,72,40.600988,-73.939998
8701,Lakewood,NJ,New York,Ocean,73,40.09425,-74.21176
11207,New York,NY,New York,Kings,74,40.670925,-73.895216
60619,Chicago,IL,Chicago,Cook,75,41.872221,-87.714493
94110,San Francisco,CA,San Francisco,San Francisco,76,37.748932,-122.416281
78666,San Marcos,TX,Austin,Hays,77,29.972907,-97.997166
30024,Suwanee,GA,Atlanta,Gwinnett,78,34.042479,-84.026171
60610,Chicago,IL,Chicago,Cook,79,41.906844,-87.63194
10019,New York,NY,New York,New York,80,40.765926,-73.985443
44107,Lakewood,OH,Cleveland,Cuyahoga,81,41.48199,-81.79819
75067,Lewisville,TX,Dallas-Fort Worth,Denton,82,33.013546,-97.00016
33025,Miramar,FL,Miami-Fort Lauderdale,Broward,83,25.987124,-80.372478
33411,Royal Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,84,26.836765,-80.224352
33139,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,85,25.790654,-80.130046
90044,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,86,33.938108,-118.285706
48197,Ypsilanti,MI,Ann Arbor,Washtenaw,87,42.202139,-83.620494
2169,Quincy,MA,Boston,Norfolk,88,42.241799,-71.006042
23462,Virginia Beach,VA,Virginia Beach,Virginia Beach City,89,36.879784,-76.352462
90805,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,90,33.739973,-118.169731
66062,Olathe,KS,Kansas City,Johnson,91,38.847391,-94.778714
44035,Elyria,OH,Cleveland,Lorain,92,41.371396,-82.105112
95630,Folsom,CA,Sacramento,Sacramento,93,38.666597,-121.141636
90650,Norwalk,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,94,33.906763,-118.076549
11234,New York,NY,New York,Kings,95,40.642535,-73.946042
92683,Westminster,CA,Los Angeles-Long Beach-Anaheim,Orange,96,33.75738,-118.105079
85710,Tucson,AZ,Tucson,Pima,97,32.214133,-110.823718
19143,Philadelphia,PA,Philadelphia,Philadelphia,98,39.942579,-75.225905
78745,Austin,TX,Austin,Travis,99,30.198702,-97.797183
11355,New York,NY,New York,Queens,100,40.750317,-73.813903
10314,New York,NY,New York,Richmond,101,40.621891,-74.129092
60617,Chicago,IL,Chicago,Cook,102,41.718197,-87.552739
30281,Stockbridge,GA,Atlanta,Henry,103,33.549947,-84.207969
32210,Jacksonville,FL,Jacksonville,Duval,104,30.274539,-81.786671
37075,Hendersonville,TN,Nashville,Sumner,105,36.347551,-86.612045
94558,Napa,CA,Napa,Napa,106,38.442011,-122.23832
60611,Chicago,IL,Chicago,Cook,107,41.8957,-87.613775
11215,New York,NY,New York,Kings,108,40.664322,-73.984132
90026,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,109,34.080017,-118.262643
85225,Chandler,AZ,Phoenix,Maricopa,110,33.325991,-111.824367
91910,Chula Vista,CA,San Diego,San Diego,111,32.651449,-117.078757
87111,Albuquerque,NM,Albuquerque,Bernalillo,112,35.143913,-106.48746
28027,Concord,NC,Charlotte,Cabarrus,113,35.410688,-80.658405
6010,Bristol,CT,Hartford,Hartford,114,41.681198,-72.939577
